TITLE	КАРТА, МАСШТАБ, КООРДИНАТЫ И ВРЕМЯ
4	1. Сущность темы и основные научные понятия
a3	Изучение и изображение земной поверхности — одно из фундаментальных направлений естествознания. Основным средством хранения и передачи географической информации является карта.
	Карта: уменьшенное, обобщённое и выполненное с помощью условных знаков изображение земной поверхности на плоскости.
	План местности: чертёж, отображающий небольшой участок земной поверхности в крупном масштабе (до 1:10 000).
	Масштаб: число, показывающее, во сколько раз линейные размеры на карте или чертеже уменьшены по сравнению с действительными размерами на местности.
	Географические координаты: величины, определяющие положение точки относительно экватора (широта) и нулевого меридиана (долгота).
	Система времени: порядок суточного счёта времени, основанный на вращении Земли вокруг своей оси.
4	2. Механизм и закономерности изображения земной поверхности
a3	Создание карты — сложный математический процесс переноса сферической (геоидальной) поверхности Земли на плоскость.
a3	Почему на картах возникают искажения? Поскольку Земля имеет шарообразную форму, при переносе её поверхности на плоскость неизбежно возникают растяжения и искажения. Для их систематического учёта применяют картографические проекции. Например, в проекции Меркатора размеры объектов увеличиваются по мере приближения к полюсам.
a3	Картографическая генерализация: отбор и обобщение объектов по мере уменьшения масштаба карты. Например, на крупномасштабном плане может быть показан каждый дом, тогда как на мелкомасштабной карте весь город обозначается одной точкой.
4	3. Масштаб: классификация и способы расчёта
a3	Различают три основных вида масштаба:
	Численный: записывается в виде отношения, например 1:250 000.
	Именованный: выражается словами, например «в 1 см — 2,5 км».
	Линейный: изображается в виде графической шкалы, удобной для измерения расстояний циркулем.
a3	Преобразование масштаба: при переводе численного масштаба в именованный используют соотношения между сантиметрами, метрами и километрами. Например: 1:500 000 соответствует 1 см на карте = 5 км на местности (500 000 см = 5000 м = 5 км).
4	4. Градусная сеть и определение координат
a3	Система линий, покрывающих земной шар, называется градусной сетью.
	Экватор (0° широты): самая длинная параллель, разделяющая Землю на Северное и Южное полушария; её длина около 40 000 км.
	Гринвичский (начальный) меридиан, 0° долготы: исходная линия, от которой отсчитывают западную и восточную долготу.
	Географическая широта: отсчитывается от экватора к полюсам от 0° до 90°.
	Географическая долгота: отсчитывается от Гринвичского меридиана от 0° до 180° к востоку и западу.
a3	Алгоритм определения координат (на примере Караганды):
	Определите параллели, между которыми расположен город (48° и 52° с. ш.).
	Определите меридианы, между которыми расположен город (72° и 78° в. д.).
	С помощью линейки и пропорции вычислите значения минут. Результат: Караганда — 49°48' с. ш., 73°07' в. д.
4	5. Часовые пояса и расчёт времени
a3	Земля совершает полный оборот на 360° вокруг своей оси за 24 часа.
	За 1 час Земля поворачивается на 15° (360 : 24 = 15).
	На поворот на 1° требуется 4 минуты (60 : 15 = 4).
a3	Виды времени:
	Местное время: время, одинаковое для всех точек, расположенных на одном меридиане.
	Поясное время: единое время в пределах одного часового пояса, теоретическая ширина которого составляет 15° по долготе.
	Линия перемены дат: условная линия, проходящая вблизи меридиана 180°. При её пересечении изменяется календарная дата.
4	6. Учёные и исследователи, связанные с темой
	Эратосфен (III в. до н. э.): ввёл термин «география», обосновал шарообразность Земли и одним из первых вычислил её размеры.
	Махмуд Кашгари (XI в.): выдающийся учёный, создавший одну из ранних карт тюркского мира — «круговую карту».
	Аль-Бируни (XI в.): наносил на карты сведения о расселении тюркских племён, в том числе на территории юга современного Казахстана.
	Герард Меркатор: в 1569 году разработал картографическую проекцию, удобную для морской навигации.
	Николай Баранский: автор известного выражения «Карта — альфа и омега географии».
4	7. Данные, связанные с Казахстаном
	Часовой пояс: до 2004 года территория Казахстана относилась к нескольким часовым поясам; в настоящее время в стране установлено единое время UTC+5.
	Месторождения: на картах полезные ископаемые, например Жезказганская медь и Торгайские бокситы, обозначаются специальными условными знаками.
	Топонимика: казахстанские учёные, в том числе Г. Конкашбаев, исследовали происхождение и значение географических названий.
4	8. Исследовательский опыт: «Измерение расстояния по карте»
	Цель: определить действительное расстояние между двумя населёнными пунктами с использованием масштаба.
	Оборудование: карта масштаба 1:50 000, линейка, карандаш.
	Независимая переменная: измеренное на карте расстояние в сантиметрах.
	Зависимая переменная: действительное расстояние на местности в километрах.
	Ход работы: расстояние по карте составляет 5 см. При масштабе 1:50 000 один сантиметр соответствует 0,5 км (500 м).
	Результат: 5 см × 0,5 км = 2,5 км.
	Вывод: масштаб является количественной связью между изображением на карте и реальными размерами объектов на местности.
4	9. Понятия, которые учащиеся часто путают
	Крупный и мелкий масштаб: чем меньше знаменатель численного масштаба, тем крупнее масштаб (например, 1:10 000); чем больше знаменатель, тем мельче масштаб (например, 1:1 000 000).
	Направление меридианов и параллелей: меридианы проходят в направлении север — юг, параллели — запад — восток.
	Местное и поясное время: местное время определяется положением конкретного меридиана относительно Солнца, а поясное время является официально установленным единым временем в пределах часового пояса.
4	10. 12 основных фактов по теме
	Карта — математическая модель земной поверхности.
	Карта не может быть составлена без масштаба.
	Экватор является началом отсчёта географической широты (0°).
	Гринвичский меридиан является началом отсчёта географической долготы (0°).
	Земля поворачивается на 15° за один час.
	Географическая широта полюсов равна 90°.
	Крупномасштабные карты используются для подробного топографического изображения местности.
	Совокупность условных обозначений карты называется легендой.
	В районе меридиана 180° проходит линия перемены дат.
	Измерение расстояний по карте относится к методам картометрии.
