TITLE	АГРЕГАТНЫЕ СОСТОЯНИЯ И СВОЙСТВА ВЕЩЕСТВ
4	1. Сущность темы и основные научные понятия
a3	Окружающий материальный мир состоит из разнообразных физических тел. Каждое тело образовано определённым веществом или несколькими веществами. В свою очередь, вещества состоят из чрезвычайно малых взаимосвязанных частиц — молекул и атомов.
a3	Физические свойства и агрегатное состояние вещества непосредственно связаны с расположением частиц, характером их движения и силами взаимодействия между ними.
a3	Основные понятия:
	Агрегатное состояние — физическое состояние вещества, определяемое характером расположения и движения его частиц. В школьном курсе рассматривают твёрдое, жидкое и газообразное состояния.
	Плавление — процесс перехода вещества из твёрдого состояния в жидкое при поглощении теплоты.
	Кипение — интенсивное парообразование, происходящее не только с поверхности, но и по всему объёму жидкости с образованием пузырьков пара.
	Испарение — процесс перехода молекул с поверхности жидкости в газообразное состояние.
	Плотность — физическая величина, характеризующая массу вещества в единице объёма.
4	2. Агрегатные состояния вещества: сравнение с позиций теории частиц
a3	Переход вещества из одного агрегатного состояния в другое объясняется изменением характера движения частиц и взаимодействия между ними.
TABLE	Покав-ваель || Твёрдое состояние || Жидкое состояние || Газообразное состояние /// Расположение частиц || Очень плотное, образуется упорядоченная кристаллическая решётка. || Частицы расположены близко, но строгий порядок отсутствует. || Частицы находятся далеко друг от друга, свободного пространства много. /// Сила взаимодействия (притяжения) || Очень велика, частицы удерживаются около определённых положений. || Значительна, но допускает перемещение частиц. || Очень мала, молекулы свободно перемещаются. /// Характер движения || Колебания около фиксированного положения. || Частицы перемещаются относительно друг друга. || Беспорядочное тепловое движение. /// Форма и объём || Сохраняет постоянные форму и объём. || Сохраняет объём, но принимает форму соводы. || Не сохраняет ни форму, ни объём и заполняет доступное пространство.
4	3. Механизмы и этапы протекания явлений и процессов
5	А) Механизм плавления и в-вавердевания (кристаллизации):
a3	При нагревании твёрдого тела переданная ему энергия усиливает колебательное движение частиц. При достижении температуры плавления упорядоченная структура твёрдого тела нарушается, и вещество начинает переходить в жидкое состояние.
a3	Обратный процесс: при охлаждении кинетическая энергия частиц уменьшается, и под действием сил взаимодействия они вновь формируют более упорядоченную структуру — происходит в-вавердевание (кристаллизация).
5	Б) Механизм кипения и образования пузырьков пара:
a3	При нагревании жидкости увеличиваются её внутренняя энергия и интенсивность движения молекул. Кипение происходит во всём объёме жидкости, где образуются и растут пузырьки пара.
	В жидкости могут присутствовать растворённые газы и микроскопические газовые пузырьки.
	При повышении температуры газ и водяной пар внутри пузырьков расширяются.
	Поскольку плотность газа и пара значительно меньше плотности жидкости, на пузырьки действует выталкивающая сила, и они поднимаются вверх.
	Достигнув поверхности жидкости, пузырьки разрушаются, а содержащийся в них пар выходит наружу.
4	4. Основные причинно-следственные связи
a3	Научное объяснение явлений основывается на выявлении причинно-следственных закономерностей:
	Связь 1:
	Причина: подведение к веществу теплоты, приводящее к повышению его температуры.
	Процесс: усиление теплового движения частиц и изменение расстояния между ними.
	Следствие: переход вещества из твёрдого состояния в жидкое (плавление) или из жидкого в газообразное (испарение/кипение).
	Связь 2:
	Причина: снижение внешнего атмосферного давления, например в высокогорных районах.
	Процесс: уменьшение внешнего сопротивления расширению пузырьков пара в жидкости.
	Следствие: снижение температуры кипения жидкости; в горах вода кипит при температуре ниже 100 °C.
4	5. Основные закономерности и классификация свойств
a3	В курсе естествознания учащиеся должны уметь характеризовать следующие основные физические свойства веществ:
	Плотность: масса вещества в единице объёма. Если средняя плотность тела меньше плотности воды, тело может плавать на её поверхности. Например, металлические воды не тонут благодаря тому, что их средняя плотность с учётом внутренних воздушных полостей меньше плотности воды.
	Текучесть (fluidity): способность вещества изменять форму под действием сравнительно небольших внешних сил. Характерна прежде всего для жидкостей и газов.
	Теплопроводность: способность вещества передавать внутреннюю энергию от более нагретой части к менее нагретой. Металлы являются хорошими проводниками тепла, а воздух и многие полимерные материалы — плохими проводниками и используются как теплоизоляторы.
	Электропроводность: способность вещества проводить электрический ток, то есть направленное движение заряженных частиц. Например, чистая вода проводит ток плохо, а раствор поваренной соли обладает значительно большей электропроводностью.
	Упругость и пластичность: способность тела восстанавливать первоначальную форму после прекращения внешнего воздействия называется упругостью (например, пружина). Способность сохранять изменённую форму после снятия нагрузки называется пластичностью (например, пластилин).
4	6. Учёные и хронология открытий
	V в. до н. э. — Демокрит: древнегреческий мыслитель выдвинул представление о том, что все вещества состоят из мельчайших неделимых частиц, которые он назвал атомами.
	XVII в. (1627–1691) — Роберт Бойль: английский физик и химик, исследовавший свойства веществ, в том числе кислот и щелочей, и применявший индикаторы.
	XVIII–XIX вв. — Д. И. Менделеев: подчёркивал значение систематических измерений в науке в известном высказывании «Наука начинается там, где начинают измерять».
	XX в. — Фриц Хенкель: внёс вклад в развитие бытовой химии и создание первых промышленных моющих порошков.
4	7. Важные количественные и качественные данные
5	Температуры плавления веществ:
a3	Для чистого кристаллического вещества температура плавления соответствует температуре его в-вавердевания при одинаковом давлении.
TABLE	№ || Название вещества || Температура плавления, || Применение и значение /// 1 || Лёд, снег ||  || Основа круговорота воды в природе. /// 2 || Алюминий ||  || Изготовление бытовой посуды и проводов. /// 3 || Золото ||  || Ювелирные изделия и говодырственные резервы. /// 4 || Железо ||  || Тяжёлая промышленность и строительные материалы. /// 5 || Вольфрам ||  || Нити накаливания ламп; тугоплавкий металл.
5	Интересный вопрос: почему не плавится ствол огнестрельного оружия?
a3	Температура пороховых газов при выстреле может быть очень высокой, однако металлический ствол не успевает расплавиться.
a3	Причина: время контакта раскалённых газов с металлом ствола очень мало. За короткий промежуток времени металл не успевает прогреться по всему объёму до температуры плавления.
5	Основные формулы:
	Формула плотности:  , где  — плотность,  — масса.
	Среднее арифметическое значение для уменьшения влияния случайных погрешностей:
	Массовая доля растворённого вещества:
5	Пример задачи на плотность:
a3	Задача: масса куска алюминия объёмом 0,002 м³ равна 5,4 кг. Определите плотность алюминия. Решение:
4	8. Конкретные примеры, связанные с Казахстаном, и традиционные единицы измерения
	Месторождения золота: Казахстан обладает значительными разведанными запасами золота. К крупным месторождениям относятся Васильковское, Бакырчик, Аксу, Акбакай, Акжал и Суздальское. Золото может встречаться в природе в самородном состоянии как простое вещество.
	Месторождения асбеста: крупные месторождения огнестойкого асбеста расположены, в частности, в районе Житикары Костанайской области. Асбест отличается низкой теплопроводностью и высокой огнестойкостью; его волокна использовались в специальных теплоизоляционных материалах.
	Традиционные казахские единицы измерения: до широкого распространения метрической системы в быту применялись народные меры длины, массы и времени:
	Длина: шаг — длина одного шага человека; размах рук — расстояние между концами пальцев рук, разведённых в стороны.
	Масса: пуд — традиционно употреблявшаяся мера массы; мешок — условная мера, связанная с массой содержимого мешка.
	Время: промежуток между доениями кобылы — традиционная мера времени.
4	9. Исследовательский опыт
a3	Тема: «Наблюдение процесса кипения воды и его температурных этапов».
	Цель: исследовать изменения температуры и этапы образования пара при нагревании воды.
	Гипотеза: при непрерывном нагревании вода достигает температуры кипения, после чего во время кипения её температура при постоянном давлении остаётся практически постоянной.
	Оборудование: термостойкая стеклянная колба, вода, термометр, спиртовка или электрический нагреватель, секундомер.
	Переменные:
	Независимая переменная: время нагревания (количество подводимой энергии).
	Зависимая переменная: температура воды и характер образования пузырьков.
	Контролируемые условия: объём воды, тип соводы, внешнее атмосферное давление.
	Ход опыта и результаты:
	На начальном этапе на дне и стенках колбы появляются небольшие пузырьки растворённых газов.
	При дальнейшем нагревании пузырьки увеличиваются; могут возникать характерные звуки, связанные с их образованием и разрушением.
	При приближении к кипению пузырьки активно поднимаются к поверхности под действием выталкивающей силы, и интенсивность парообразования возрастает.
	При достижении температуры кипения вода по всему объёму приходит в интенсивное движение. Пока продолжается кипение при постоянном давлении, температура остаётся практически постоянной.
	Вывод: кипение — интенсивное парообразование, происходящее по всему объёму жидкости при определённой температуре, зависящей от внешнего давления.
4	10. Понятия, которые учащиеся часто путают
	Испарение и кипение:
	Ошибочное представление: испарение и кипение — один и тот же процесс.
	Научное объяснение: испарение может происходить при любой температуре и преимущественно с поверхности жидкости. Кипение — интенсивное парообразование во всём объёме жидкости при температуре кипения.
	Плавление и растворение:
	Ошибочное представление: исчезновение сахара или соли в воде означает плавление.
	Научное объяснение: плавление — переход твёрдого вещества в жидкое под действием нагревания, например таяние льда. Растворение — распределение частиц растворяемого вещества между частицами растворителя с образованием однородного раствора.
	Температура и количество теплоты:
	Ошибочное представление: чем горячее тело, тем больше в нём «теплоты».
	Научное объяснение: температура характеризует тепловое состояние вещества и связана со средней кинетической энергией частиц. Количество теплоты — энергия, переданная телу или отданная им в процессе теплообмена.
4	11. 12 важных фактов, которые следует запомнить
	Вещество может находиться в трёх основных агрегатных состояниях: твёрдом, жидком и газообразном.
	Усиление тепловых колебаний частиц при нагревании может привести к плавлению твёрдого вещества.
