TITLE	ЭНЕРГИЯ ТҮРЛЕРІ ЖӘНЕ ЭНЕРГИЯНЫҢ АЙНАЛУЫ
4	1. Тақырыптыңмәні мен негізгіғылымиұғымдары
a3	Біздіқоршағанәлемдегікезкелгенфизикалықдененемесеағзаөзқозғалысынсақтаужәнежұмысістеуүшінбелгілібіркүшкеиеболуыкерек. Тіріжәнежансызтабиғаттағыбарлықүдерістердібіріктіретінбастыұғым — энергия болыптабылады.
	Энергия — дененіңжұмысатқаруқабілетінсипаттайтынфизикалықшама. Энергия — материяныңқозғалысы мен өзараәрекеттесуініңәмбебапөлшемі.
	Механикалық энергия  — дененіңқозғалысы мен оныңбасқаденелерменөзараорналасуынабайланыстыболатын энергия. Механикалық энергия екітүргебөлінеді:
	Кинетикалық энергия  — тек қана дененің қозғалуы нәтижесінде пайда болатын энергия. Егер дене тыныштықкүйдеболса, оныңкинетикалықэнергиясынөлгетеңболады.
	Потенциалдық энергия  — өзараәрекеттесетінденелердіңнемесебірденебөліктерініңөзараорналасуыбойыншаанықталатын энергия.
	Ішкі энергия  — денені құрайтын барлық бөлшектердің (молекулалар мен атомдардың) үздіксіз ретсіз қозғалысының кинетикалық энергиясы мен олардыңөзараәрекеттесуініңпотенциалдықэнергияларыныңқосындысы.
	Жылуэнергиясы (Жылумөлшері, — жылу алмасу үдерісі кезінде дененің алған немесе жоғалтқан ішкі энергиясының өлшемі.
	Химиялық энергия — заттардыңмолекулаларындағыатомдарарасындағыхимиялықбайланыстардасақталатын энергия. Олхимиялықреакциялар (мысалы, отынныңжануынемесетағамныңтотығуы) кезіндебосапшығады.
	Электрлік энергия — зарядталғанбөлшектердің (электрондардың) бағытталғанқозғалысыарқылытасымалданатын энергия түрі.
	Жарықэнергиясы — электромагниттіксәулеленутолқындарыарқылытаралатын, Күнненнемесебасқажасандыжарықкөздеріненбөлінетін энергия.
	Энергия көзі — адамзатбаласынаөзініңтіршілікәрекетінқамтамасызетуүшінқажеттіпайдалы энергия алуғамүмкіндікберетінтабиғиүдеріснемесезаттаржиынтығы.
4	2. Құбылыстыңмеханизмі, кезеңдеріжәнежүружолдары
5	А) Энергия алмасужәнежылу беру механизмі:
a3	Энергия бірденеденекіншіденегеөткенденемесебіркүйденекіншікүйгеауысқандабелгілібірфизикалықмеханизмдерарқылыжүреді. Жылуберілукезіндеэнергияныңтасымалдануымолекулалықдеңгейдеөтеді:
	Жылуөткізгіштікмеханизмі:Жоғарытемпературалы (ыстық) бөліктегібөлшектержылдамқозғалып, көршілессалқынбөлшектерменсоқтығысады. Осы соқтығысунәтижесіндекинетикалық энергия дененіңқызғанбөлігіненсалқынбөлігінеқарайбіртіндепберіледі.
	Конвекция механизмі:Сұйықтарнемесегаздардыңқызған (тығыздығыазырақ, жеңіл) қабаттарыжоғарыкөтеріліп, олардыңорнынсалқынқабаттарбасады. Осылайшазатағыныарқылыжылутасымалданады.
	Сәулешығару (радиация) механизмі:Денелерарасындаешқандайзаттық орта болмаса да (мысалы, Күн мен Жерарасындағы вакуум кеңістігінде), энергия электромагниттіктолқындарарқылытаралады.
5	Ә) Заттыңфазалықауысуларындағы энергия механизмі:
	Балқуүдерісі:Затқаттыкүйденсұйықкүйгеөткенде, сыртқыортаданжылуэнергиясынсіңіреді (жұтады). Бұлсіңірілген энергия бөлшектерарасындағыкристалдық тор байланыстарынбұзуғажұмсалады.
	Булануүдерісі:Сұйықтық газ (бу) күйінеауысқанда, молекулаларарасындағытартылыскүшінжеңуүшінүлкенмөлшердежылуэнергиясынжұтады. Нәтижесіндебуланыпжатқан бет салқындайды.
	Қатаю (кристалдану) және Конденсация үдерістері:Затсұйықкүйденқаттыкүйгенемесебудансұйықтыққаайналғанда, оныңбөлшектерініңқозғалысыбаяулайды да, сыртқыортаға энергия (жылу) бөлініпшығады.
4	3. Себеп Салдар байланыстары
a3	Термодинамикалықжәнемеханикалыққұбылыстардысебеп-салдарзаңдылықтарыарқылысипаттау НИШ/РФМШ емтихандарындағылогикалықсұрақтардыңнегізіболыптабылады:
	1-тізбек (Механикалықжұмыстыңжылуғаайналуы):
	Себеп (Cause):Сыртқыкүштердіңәсеріненекідененің (мысалы, металл монета мен ағаштақтайшаның) өзараүйкелуі.
	Үдеріс (Process):Үйкеліскүшінеқарсымеханикалықжұмыстың атқарылуы.
	Салдар (Effect):Денелердіңмолекулалыққозғалысыныңжылдамдауы, соныңнәтижесіндеішкіэнергияныңартып, монета температурасыныңкүрткөтерілуі (қызуы).
	2-тізбек (Ішкі энергия есебіненжұмысатқарылуы):
	Себеп:Тығыздалыпжабылғаншыныыдыстыңішінесорғыменауаныкөпмөлшердеайдау (қысымныңартуы).
	Үдеріс:Ауаныңқысымкүшініңәсеріненрезеңкетығынныңыдысаузынансыртқақарайатылыпшығуы (ауаныңөздігіненжұмысатқаруы).
	Салдар:Ыдысішіндегіауаныңөзжұмысыесебіненішкіэнергиясыныңазаюы, температураныңтөмендепсалқындауыжәнебудыңсуықәсерінен су тамшыларына (конденсацияланып) айналып, ыдысішіндетұмантүзілуі.
4	4. Маңыздызаңдылықтар, қасиеттержәнежіктелулер
5	А) Энергия көздерініңжіктелуі:
a3	Шаруашылықтақолданылатынбарлықэнергетикалықресурстар мен энергия көздеріекіүлкентопқабөлінеді:
HTML0	[ЭНЕРГИЯ КӨЗДЕРІ]
HTML0	│
HTML0	┌─────────────────┴─────────────────┐
HTML0	│                                   │
HTML0	[Жаңғырмайтын (дәстүрлі)]              [Жаңғыртылатын (баламалы)]
HTML0	(Адамзат қайта жасай алмайтын,          (Табиғатта үздіксіз жаңарып
HTML0	сарқылатын энергия қорлары)              отыратын энергия көздері)
HTML0	│                                   │
HTML0	┌─────────┼─────────┐               ┌─────────┼─────────┐
HTML0	│         │         │               │         │         │
HTML0	Көмір      Мұнай   Табиғи газ      Күн энергиясы  Су энергиясы  Жел энергиясы
HTML0	│
HTML0	├── Торф
HTML0	├── Жанғыш тақтатас
HTML0	└── Уран (ядролық отын)
HTML0	└── Геотермалдық энергия
5	Ә) Жүйедегі энергия айналымыныңіргелізаңдары:
	Энергияныңсақталужәнеайналузаңы:Табиғаттағы энергия ешқашанжойылыпкетпейдіжәнежоқтанпайдаболмайды. Ол тек бірденеденекіншіденегеөтедінемесебіртүрденекіншітүргеайналады.
	Тұйықжүйеніңтолық энергия заңы:Сыртқыортаменжылуалмаспайтынжәнесыртқыкүштержұмысістемейтінтұйықжүйедегіденелердіңтолықэнергиясы (механикалықжәнеішкіэнергиялардыңқосындысы) әрқашантұрақтыболады:
	Жылуүдерістерініңқайтымсыздықзаңы (Термодинамиканыңекіншізаңы):Жылуөздігіненәрқашантемпературасыжоғары (ыстық) денедентемпературасытөмен (суық) денегеқарайауысады, бірақешқашанөзбетіншесуықденеденыстықденегеқарайкерібағыттаауысаалмайды.
4	5. Тақырыпқаүлесқосқанғалымдар мен зерттеушілер
	Бенджамин Томпсон (Румфорд графи) — 1798 ж.:Зеңбірекұңғысынбұрғылаубарысындамеханикалықжұмыстыңжылуғаайналатыныналғашреттәжірибежүзіндетіркеді. Аттардыңкүшімен 2,5 сағатбұрғылаукезіндеұңғынықоршағанбірнеше тонна судыңқайнағанынбақылап, жылудыңерекшематериалдықсұйықтықемес, молекулалыққозғалыстыңөлшеміекеніндәлелдеді.
	Джеймс Прескотт Джоуль (1818–1889):Механикалықжұмыс пен жылудыңарасындағыэквиваленттіліктідәлесептеп, энергияныңсақталузаңын эксперимент жүзінденегіздегенұлыағылшынфизигі. Оныңқұрметіне энергия мен жұмыстыңөлшембірлігіДжоуль (Дж)депаталды.
	Юлиус Роберт фон Майер (1814–1878):Табиғаттағыэнергияныңайналужәнесақталузаңынтеориялықтүрдетұжырымдағаннемісдәрігеріәріфизигі.
4	6. Маңыздысандықжәнесапалықдеректер
