TITLE	КРУГОВОРОТЫ ВЕЩЕСТВ И ПРОЦЕССЫ НЕЖИВОЙ ПРИРОДЫ
4	1. Сущность темы и основные научные понятия
a3	Все вещества и материалы окружающего мира непрерывно изменяются и переходят из одного состояния в другое. Процессы неживой природы являются важнейшими движущими силами, обеспечивающими устойчивость жизни на планете Земля.
	Материя (лат. materia — вещество) — физическая субстанция. Все вещества обладают массой, протяжённостью, определёнными свойствами и занимают место в пространстве.
	Круговорот веществ (циркуляция) — непрерывное перемещение и преобразование веществ между атмосферой, гидросферой, литосферой и живыми организмами (биосферой). Круговорот веществ — одно из важнейших свойств Земли; он обеспечивает устойчивость и функционирование компонентов экосистем.
	Конденсация — переход вещества из газообразного состояния (пара) в жидкое.
	Выветривание — процесс разрушения, дробления и химического изменения горных пород под действием колебаний температуры, воды, ветра, льда и живых организмов.
	Горообразование (орогенез) — процесс складчатых деформаций земной коры и формирования высокогорного рельефа под действием движения литосферных плит и внутренних (эндогенных) сил Земли.
	Климатические процессы — совокупность закономерно повторяющихся многолетних изменений погоды, формирующихся под воздействием солнечной радиации, циркуляции атмосферы и рельефа.
4	2. Механизм и этапы природных явлений и процессов
5	А) Механизм круговорота воды (малый и большой круговороты):
a3	Круговорот воды на Земле — глобальный гидрологический процесс, происходящий под воздействием солнечного тепла и силы тяжести.
	Испарение: солнечные лучи нагревают поверхность Мирового океана и суши. Вода переходит из жидкого состояния в пар и поднимается в атмосферу.
	Конденсация: с высотой температура воздуха в тропосфере понижается. Водяной пар охлаждается, превращается в мельчайшие капли воды, и образуются облака.
	Осадки: капли в облаках объединяются, их масса увеличивается, и они выпадают на земную поверхность в виде дождя, снега или града.
	Возвратный путь (сток): часть выпавшей воды просачивается в грунт и пополняет подземные воды, а остальная часть по рекам и озёрам возвращается в океан.
	Малый круговорот воды: вода, испарившаяся с поверхности океана, вновь выпадает осадками непосредственно в океан.
	Большой круговорот воды: вода, испарившаяся из океана, переносится ветром на сушу, выпадает там осадками и в-ваем по рекам возвращается в океан.
5	Б) Механизм горообразования и выветривания:
a3	Эти два процесса поддерживают динамическое равновесие земной поверхности. Горообразование под действием внутренней энергии Земли и столкновения плит повышает рельеф, тогда как выветривание под воздействием внешних сил разрушает и постепенно выравнивает возвышенности.
	Физическое выветривание: растрескивание горных пород вследствие суточных колебаний температуры — нагревания и расширения днём, охлаждения и сжатия ночью.
	Химическое выветривание: изменение химического состава горных пород под действием воды, кислорода и углекислого газа, например превращение полевого шпата в глинистые минералы.
	Органическое (биологическое) выветривание: разрушение горных пород корнями растений либо кислотами, выделяемыми лишайниками.
5	В) Химические круговороты веществ в природе (углерод и кислород):
	Фотосинтез: живые организмы, используя солнечный свет и углекислый газ, синтезируют органические вещества и кислород.
	Дыхание и горение: при этих процессах, напротив, поглощается кислород и выделяются углекислый газ и водяной пар.
	Гниение (деструкция): мёртвые органические остатки разлагаются под действием бактерий, а содержащиеся в них углерод и минеральные вещества возвращаются в неживую природу — в почву и атмосферу. Гниение является важнейшим звеном круговорота веществ.
4	3. Основные причинно-следственные связи
a3	Любое изменение в неживой природе подчиняется причинно-следственным закономерностям:
	Пример 1 (взаимосвязь воды и почвы):
	Причина: нагрев земной поверхности солнечным излучением.
	Процесс: испарение влаги и её конденсация с последующим выпадением осадков.
	Следствие: размыв горных пород, рост растений и разложение органических остатков с участием в почвообразовании.
	Пример 2 (весенний сель):
	Причина: резкое повышение температуры воздуха весной и быстрое таяние снега в горах.
	Процесс: чрезмерное повышение уровня воды в горных реках (гидрологический паводок).
	Следствие: водный поток вовлекает рыхлые породы склонов — глину и песок, вызывая сели и паводки.
4	4. Классификация важных закономерностей и свойств
5	Классификация природных явлений и процессов:
a3	Природные процессы группируют по следующим основным признакам:
	По происхождению: литосферные (землетрясение, вулканизм), атмосферные (буря, смерч), гидросферные (наводнение, сель).
	По продолжительности: секундные (молния), суточные (смена дня и ночи), многомиллионолетние (горообразование).
	По повторяемости (ритмичности): суточные и годовые (сезонные) ритмы.
5	Взаимосвязь свойств природных компонентов:
	Свойства горных пород: твёрдость гранита и водонепроницаемость глины определяют особенности местного ПТК — природно-территориального комплекса.
	Свойства воды: температура, объём и скорость течения воды влияют на формирование морских и океанических природных комплексов.
4	5. Учёные и исследователи, внесшие вклад в изучение темы
	В. И. Вернадский: заложил основы учения о биосфере и ноосфере. Он впервые научно обосновал роль живых организмов в вовлечении химических элементов неживой природы в биохимический круговорот.
	Александр Гумбольдт (1769–1859): один из основоположников климатологии; установил закономерную смену природных компонентов в горах по мере снижения температуры с высотой — высотную поясность, или вертикальную зональность.
	Шокан Уалиханов (1856–1859 гг.): выдающийся казахский путешественник и учёный, исследовавший природно-территориальные комплексы Центральной Азии, Жетысу и Кашгарии. По данным полевых наблюдений он описал взаимосвязи рельефа, климата и водных систем этих регионов.
	Каныш Сатпаев: выдающийся геолог, исследовавший геологическую историю развития Казахстана, его тектоническое строение и закономерности размещения полезных ископаемых.
4	6. Важные количественные и качественные данные
	Возраст Земли: с учётом космических и геологических этапов возраст Земли составляет приблизительно 4,5 млрд лет.
	Свойства и фазовые переходы воды:
	Температура замерзания воды и плавления льда: 0.
	Температура кипения воды при нормальном атмосферном давлении: 100.
	Нормальная концентрация углекислого газа в воздухе: приблизительно 0,03–0,04%. В учебных помещениях предельно допустимая концентрация (ПДК), при которой кратковременное пребывание не оказывает вредного воздействия на здоровье человека, — 1%.
5	Важная формула и расчёт:
a3	Расчёт концентрации углекислого газа в аудитории или классе (пример вычисления школьного и НИШ-уровня):
a3	Условие задачи: длина класса — , высота — . В этом помещении в течение  занимались . Каждый ученик в среднем выделяет за час (30  углекислого газа. Определите концентрацию  в классе.
a3	Решение:
	Определяем объём классного помещения :
	Определяем общий объём газа, выделившегося при дыхании:
	Переводим литры в кубические метры (\(ext{м}^3\)):
	Рассчитываем концентрацию углекислого газа:
a3	Вывод: уровень  в классе составляет , что не превышает санитарную норму, однако помещение необходимо проветривать.
4	7. Конкретные примеры, связанные с Казахстаном
	Высотная поясность Иле Алатау: в соответствии с закономерностью, описанной Александром Гумбольдтом, климатические условия закономерно изменяются от сухих степей у подножия Иле Алатау до зоны вечного холода и ледника Туюксу в высокогорье.
	Добывающая промышленность и изменение литосферы: при разработке крупных месторождений Казахстана, например в Жезказгане, под землёй образуются значительные пустоты. Для предотвращения нарушений литосферы отечественные специалисты разрабатывают способы заполнения таких пустот отходами производства.
	Природные сели и паводки: на реках Восточного и Южного Казахстана (Иртыш, Есиль, Или) весеннее снеготаяние и осадки вызывают подъём уровня воды, а природные бедствия нарушают равновесие природно-территориальных комплексов.
4	8. Исследовательские опыты (метод моделирования)
5	Опыт 1: «Миниатюрная модель круговорота воды в банке»
	Цель: объяснить механизм большого и малого круговорота воды в природе с помощью созданной вручную физической модели.
	Гипотеза: если горячая вода на дне банки испаряется, а поверхность крышки охлаждается льдом, то пар будет конденсироваться и вновь выпадать в виде «дождя».
	Оборудование: стеклянная банка, крышка, горячая вода, кусочки льда, модель рельефа с грунтом.
	Переменные:
	Независимая переменная: наличие льда на крышке (степень охлаждения).
	Зависимая переменная: скорость образования конденсированных капель.
	Контролируемые условия: исходная температура воды, объём банки.
	Результат: водяной пар, испарившийся с поверхности горячей воды, поднялся вверх и при соприкосновении с охлаждённой льдом крышкой превратился в капли воды (конденсация). Эти капли выпали на грунт в виде «дождя».
	Вывод: опыт в банке моделирует взаимодействие солнечного нагрева и холодных слоёв воздуха в природном круговороте воды.
5	Опыт 2: «Моделирование выветривания и состава почвы с помощью смеси глины и песка»
	Цель: исследовать взаимодействие различных горных пород — песка и глины — с водой и их свойства.
	Методика: в четырёх различных ёмкостях смешать песок, глину и воду в разных пропорциях; часть образцов выдерживать в тёплом месте, часть — в морозильной камере в течение 3 дней, чтобы исследовать влияние температуры как фактора выветривания.
4	9. Понятия, которые учащиеся часто путают
