TITLE	МАТЕРИКТЕР, МҰХИТТАР ЖӘНЕ ТАБИҒАТ ЖАҒДАЙЛАРЫ
4	1. Тақырыптыңмәні мен негізгіғылымиұғымдары
a3	Жербетініңжалпыауданы — 510 млн км². Оның70,8%-ын (361 млн км²)Дүниежүзілікмұхит, ал 29,2%-ын (149 млн км²)құрлықалыпжатыр.
	Материк (Континент):Жерқыртысының су деңгейіненкөтеріліптұрған, жан-жағымұхиттарменжәнетеңіздерменқоршалғанөтеірібөлігі.
	Дүниебөлігі:Жердіңтарихи-мәдениқалыптасқанауданы. Оған материк немесеоныңбірбөлігіаралдарыменбіргекіреді.
	Дүниежүзілікмұхит:Жердіңбарлықмұхиттары мен теңіздерінбіріктіретінүздіксіз су қабығы.
	Биом:Белгілібірклиматтықжағдайы, өсімдікжәнежануарлартүрі бар ірітабиғатзонасы.
4	2. Құбылыстардыңмеханизміжәнесебеп-салдарлықбайланыстар
a3	Табиғаткомпоненттері (жербедері, климат, су, топырақ, өсімдік, жануар) өзаратығызбайланыстыжәнебіртұтасжүйеніқұрайды.
	Күнэнергиясыныңтаралуы:Күнсәулесініңтүсубұрышыэкваторданполюстергеқарайазаяды. Бұлендікзоналылықзаңынтудырады.
	Себеп → Үдеріс → Салдар:
	Себеп:Материктіңмұхиттанқашықтығыныңартуы.
	Үдеріс:Ауаныңқұрғауы (континенттілік).
	Салдар:Өсімдікжамылғысыныңсиреуі, шөлдердіңқалыптасуы.
	Секторлықзаңдылық:Материктердіңшеткі (мұхиттық) жәнеішкі (құрлықтық) бөліктерініңтабиғатыныңайырмашылығы.
4	3. Материктер мен мұхиттардыңсипаттамасы мен жіктелуі
5	Материктер (6 ірінысан):
	Евразия:Еңүлкен материк, барлықклиматтықбелдеулеркездеседі.
	Африка:Еңыстық материк, экватор оны қақбөліпөтеді.
	Солтүстік Америка:Жербедерініңалуантүрлілігіменерекшеленеді.
	Оңтүстік Америка:Еңылғалды материк.
	Антарктида:Еңсуық, мұзды материк.
	Австралия:Еңкішіжәнееңқұрғақ материк.
5	Дүниежүзілікмұхиттыңқұрамдасбөліктері:
TABLE	Бөлік || Сипаттамасы || Мысал /// Мұхиттар || Судыңеңірібөліктері || Тынық, Атлант, Үнді, С. Мұзды /// Теңіздер || Мұхиттыңқұрлықпенбөлінгенбөлігі || Каспий (көл-теңіз), Жерорта /// Шығанақтар || Құрлыққатереңсұғынаенген су бөлігі || Бенгалшығанағы /// Бұғаздар || Екі суды қосатын тар су жолы || Магеллан бұғазы
4	4. Маңыздысандықдеректержәнерекордтар
	Орташатұздылық: 35‰ (промилле). Бұл 1 литр суда 35 грамм тұз бар дегендібілдіреді.
	Еңтереңжер:Тынықмұхитындағы Мариан шұңғымасы (11 022 м).
	Еңүлкенарал: Гренландия.
	Жердіңорташатемпературасы: +15,5°C.
	Мұхиттыңкөлемі:Жербетінің 70,8%-ыналыпжатыр.
4	5. Зерттеушілер мен саяхатшылар
	Фернан Магеллан (1519–1522):Тұңғышдүниежүзіліксаяхатжасап, мұхиттардыңбір-біріменбайланыстыекеніндәлелдеді.
	Христофор Колумб (1492): Американы ашты (бірақҮндістандепойлады).
	Васко да Гама (1498):ЕуропаданҮндістанғатеңізжолынашты.
	Джеймс Кук:Антарктиданыіздеугеүлесқосты, Аустралиянызерттеді.
	ШоқанУәлиханов:ОрталықАзияның (Қашғария, Жетісу) табиғатынжүйелізерттеген.
4	6. Ағзалардыңбейімделумеханизмі
	Мұхитта:Судыңжоғарытығыздығыағзаларғамықтықаңқасызөмірсүругемүмкіндікбереді. МұндаЖердегіеңіріжануарлар (киттер) мекендейді.
	Құрлықта:Өсімдіктер мен жануарларылғал мен жылудыңжетіспеушілігінебейімделеді (мысалы, шөлөсімдіктерініңтамырытерең, жапырағытікенді).
	Мұхитағзаларыныңтоптары:
	Планктон: Су ағыныменеріксізілесіпжүретінұсақағзалар.
	Нектон: Суда еркінжүзетініріжануарлар (балық, кит).
	Бентос:Мұхиттүбіндетіршілікететіндер (шаян, маржан).
4	7. Қазақстанғақатыстымысалдар
	Каспий теңізі:Дүниежүзіндегіеңүлкентұйық су айдыны, мұхитқашығаалмайды.
	Еуразияорталығы:ҚазақстанЕуразияматеригініңдәлортасында, мұхиттарданқашықорналасқан, сондықтан климаты шұғылконтинентті.
	Биіктікбелдеулік:ІлеАлатауындаетектегідалаларданбастап, ұшарбасындағымұздықтарғадейінтабиғатзоналарыауысады.
4	8. Зерттеутәжірибесі: «Мұхитсуыныңқасиеті»
	Мақсат:Судыңтұздылығыоныңтығыздығынақалайәсерететінінанықтау.
	Гипотеза:Егерсудыңтұздылығыжоғарыболса, оныңтығыздығыартадыжәнеденелероңайқалқиды.
	Тәуелсізайнымалы:Судағытұзмөлшері.
	Тәуелдіайнымалы:Дененің (жұмыртқаның) бату немесеқалқудеңгейі.
	Бақыланатынжағдайлар:Судыңкөлемі мен температурасы.
	Нәтиже:Тұзсыз суда жұмыртқабатады, тұзды суда бетінеқалқыпшығады.
	Қорытынды:Мұхитсуыныңтұздылығыоныңитерушікүшін (тығыздығын) арттырады.
4	9. Оқушыжиішатастыратынұғымдар
	Материк және Арал: Материк — өтеүлкенқұрлық, Арал — жан-жағынансуменқоршалғаншағынқұрлықбөлігі.
	Тұздылықөлшемі:Тұздылықпайызда (%) емес, промиллемен (‰)өлшенеді.
	Ағыстар:Судыңтемпературасыайналасындағысуданжоғарыболса — жылы, төменболса — суықағысдепаталады (абсолюттік температура емес, салыстырмалылықмаңызды).
4	10. Тақырыпбойынша 12 негізгі факт
	Жербетінің 2/3 бөлігіненастамы су.
	Еуразияматеригінбарлық 4 мұхитшайыпжатыр.
	Мұхитсуыныңорташатұздылығы — 34,7‰ (шамамен 35‰) .
	Африка — экватор мен нөлдік меридиан қиыпөтетінжалғыз материк.
	Тынықмұхиты — әлемдегіеңүлкенжәнееңтереңмұхит.
	Аустралия — толықтайОңтүстікжартышардаорналасқан материк.
	Мариан шұңғымасыныңтереңдігі — 11 022 метр.
	Жылыағыстаржағалауклиматынжұмсартадыжәнеылғалдандырады.
	Материктердіңтабиғатынсипаттаугеографиялықорнынанбасталады.
	Каспий теңізі — Қазақстанныңбатысындағыеңірі су айдыны.
	Планктон — мұхиттағықоректіктізбектіңбастауы.
	Экваторданполюстергеқарайтабиғатзоналарызаңдытүрдеауысады.
4	11. Тереңдетілген деңгей: НИШ/РФМШ Challenge
	Литосфералықтақталартеориясы:ҚазіргіматериктерертедегібіртұтасПангеяматеригініңжарылуынанпайдаболған. Бұлжербедері мен мұхиттабаныныңқұрылысынтүсіндіреді.
	Альбедо эффектісі:Қарменқапталған Антарктида Күнсәулесінің 90%-ынадейіншағылыстырады, сондықтанолжерқызбайды.
	Мұхиттық конвейер:Ғаламдықмұхитағыстарыжылу мен тұздыбүкіл планета бойыншатасымалдап, климаттық тепе-теңдіктісақтайды.
	Кориолис күшініңәсері:ЖердіңөзөсіненайналуынабайланыстымұхитағыстарыСолтүстікжартышардаоңға, Оңтүстіктесолғаауытқиды.
	Эндемиктер:Аустралияныңмұхиттанертебөлінуіондабасқаешжердекездеспейтінбірегейағзалардың (кенгуру, үйректұмсық) сақталуынаәкелді.
	Термохалинді циркуляция:Мұхитсуыныңқозғалысы тек желгеемес, судыңтемпературасы мен тұздылығының (тығыздығының) айырмашылығына да байланысты.
