TITLE	ҚЫШҚЫЛДАР, СІЛТІЛЕР ЖӘНЕ МАТЕРИАЛДАР
4	1. Тақырыптыңмәні мен негізгіғылымиұғымдары
a3	Біздіқоршағандүниедегібарлықзаттар мен материалдарөздерініңхимиялықтабиғаты, құрылымыжәнеқасиеттерібойыншаерекшеленеді. Химиялыққасиеттердізерттеубарысындаеңмаңыздысипаттамалардыңбірі — заттыңқандайерітіндіортасынтүзетініболыптабылады.
	Қышқыл орта:Құрамындасутекиондары басым болатын, тән қышқыл дәмі бар заттар тобы. Қышқылдар сұйық та, қатты да күйде кездеседі.
	Сілтілік орта:Белсендіметалдардыңсулыерітінділеріндетүзілетін, терігетигендесабынтәріздітайғанақсезілетін орта түрі.
	Бейтарап орта:Қышқылдық та, сілтілік те қасиеткөрсетпейтін, рН деңгейітеңгерілген орта (мысалы, таза су).
	Индикатор (лат. indicator – көрсеткіш):Ерітіндініңортасынабайланыстыөзініңтүсінөзгертугеқабілеттіарнайызаттар.
	Органикалықзаттар:Құрамындаміндеттітүрдекөміртек (С) атомы болатын, тіріағзалардыңтіршілікәрекетінәтижесіндетүзілетіннемесесолардыңқұрамынакіретінкүрделіқосылыстар.
	Бейорганикалықзаттар:Құрамындакөміртек атомы болмайтын (кейбірқарапайымкөміртекқосылыстарынқоспағанда), жансызтабиғатденелерінқұрайтынминералдықзаттар.
4	2. Құбылыстыңқалайжәне неге жүретіні, кезеңдері мен механизмі
5	А) Индикаторлардыңжұмысістеумеханизмі (Түстіңөзгеруі):
a3	Ерітіндігеиндикатордықосқанда, ортаныңқышқылдықнемесесілтілікдәрежесінебайланысты индикатор молекулаларыныңхимиялыққұрылымыөзгереді. Бұлқұрылымдықөзгерісзаттыңжарықсәулелерінжұтуқабілетінөзгертеді, нәтижесіндебізерітіндітүсініңөзгеруінсапалықтұрғыданбақылаймыз.
5	Ә) рН көрсеткіші мен оныңмәндері:
a3	ЕрітіндініңортасынбағалауүшінғылымдалатыншарН (сутеккөрсеткіші) таңбасықолданылады. Олсутекиондарыныңсандықконцентрациясынсипаттайдыжәне-ден -ке дейінгішәкілбойыншаөлшенеді:
	рН < 7 (Қышқылдық орта): Лимон жәнеалмашырындарыжатады.
	рН = 7 (Бейтарап орта): Таза (дистилденген) су және ас тұзыныңерітіндісі.
	рН > 7 (Сілтілік орта):Сабынды су, кірсабынерітіндісі, ас содасыныңерітіндісі, мүсәтірспиртіжатады.
4	3. НегізгіСебепСалдар байланыстары
