TITLE	ЖАСУША — ТІРШІЛІКТІҢ НЕГІЗІ
4	1. Тақырыптыңмәні мен негізгіғылымиұғымдары
a3	Жербетіндегітіршіліктіңәртүрлілігі мен күрделілігінеқарамастан, олардыңбарлығыортаққұрылымдықнегізгеие. Тіріағзалардың басым көпшілігі (вирустарданбасқасы) жасушалыққұрылымнантұрады.
	Жасуша — тіріағзаныңеңкішіқұрылымдықжәнефункционалдықбірлігі, оныңтіршілікқасиеттерінсақтайтынеңұсақ «кірпіші».
	Цитология — жасушаныңқұрылысын, дамуынжәнеқызметінзерттейтін биология ғылымыныңжекесаласы.
	Морфология — ағзалардың (өсімдіктердіңнемесежануарлардың) сыртқықұрылысы мен оныңерекшеліктерінзерттейтінғылым.
	Тіріағзалардыңортаққасиеттері:Тіріағзалардыжансызтабиғаттанажырататыннегізгібиологиялықүдерістер мен қасиеттергемыналаржатады: тамақтану, тынысалу, бөліпшығару, көбею, қозғалғыштық, тітіркенгіштік, бейімділік (адаптация), өсужәне даму.
4	2. Тіршілікқұбылыстарыныңжүрумеханизміжәнеөзін-өзіреттеу
a3	Тіріжүйелердіңбастыерекшелігі — олардыңсыртқы энергия көздерін (тағам, жарық) пайдаланужәнеөзішкіортасынтұрақтықалыптаұстау (өзін-өзіреттеу) қабілеті.
	Өсужәне даму механизмі:Өсукезіндежасушалардыңбөлінуінәтижесіндеағзаныңмассасы мен көлеміартады. Ал даму барысындаағзасапалықтұрғыданөзгеріп, оныңқұрылымдықұйымдасуыкүрделенетүседі.
	Өзін-өзіреттеу (Гомеостаз) механизмі: Кез келгентіріағзасыртқы орта өзгерістерінеқарамастанішкітұрақтылығынсақтайды. Мысалы, адамныңнемесежануардыңқарныашқанда, бұлақпаратжүйкежүйесіарқылымиғаберіледі. Ми ағзағатамақіздеугебұйрықбереді. Тамаққорытылып, қоректікзаттарқанғасіңгенсоң, ағзатояды да, ми тәбеттібасып, қоректенудітоқтатудыбұйырады. Біразуақыттанкейінбұл цикл қайталанады.
4	3. ЖүйелікСебеп → Үдеріс → Салдарбайланыстары
a3	Биологиялыққұбылыстардысебеп-салдарзаңдылықтарыарқылысипаттауғаболады:
	1-байланыс (Тітіркенгіштік):
	Себеп:Сыртқы орта факторларының (жарық, температура, механикалықәсер) ағзағаықпалетуі.
	Үдеріс:Жасушарецепторларыныңқозуыжәнесигналдыңберілуі.
	Салдар:Ағзаныңқозғалыснемесефизиологиялықөзгерісарқылыжауапқайтаруы.
	2-байланыс (Автотрофтықоректену):
	Себеп:ӨсімдікжасушаларынаКүнсәулесі мен көмірқышқылгазыныңәсеретуі.
	Үдеріс:Хлоропластарда су мен бейорганикалықзаттардыңқатысуыменөтетінфотосинтезреакциясы.
	Салдар:Жасушадаорганикалықзаттардың (глюкоза) синтезделуіжәнеоттегініңатмосферағабөлінуі.
4	4. Жасушаныңнегізгіқұрамдасбөліктеріжәнеорганоидтардыңқызметі
a3	Кез келгенжасушаныңтіршілігінқамтамасызететінүшнегізгібөлігіболады:
	Жасушақабықшасы (мембрана):Жасушаларды, олардыңядролары мен цитоплазмасындағыжарғақтыорганеллалардышектептұратынжұқажарғаққабықша. Олжасушаныңішкіқұрамынсыртқыортаданбөліп, заттардыңтаңдамалытүрдеөтуінреттейді.
	Цитоплазма:Жасушаныңнегізгіқұрамынқұрайтынжартылайсұйық, тұтқырзат. Ондабарлықорганоидтарорналасадыжәнехимиялықреакцияларжүреді.
	Ядро:Цитоплазмадаорналасқанкішігірімтығыз, дөңгелекденешік. Олжасушаныңдамуы мен тіршілікәрекетінбасқарадыжәнегенетикалық (тұқымқуалаушылық) ақпараттысақтайды.
a3	Жасушаныңмаңыздыорганоидтары:
	Митохондрия:Жасушаның «энергетикалықстанциясы». Ондатынысалуүдерісіжүріп, ағзағақажетті энергия бөлінеді.
	Лизосома:Жасушаішіндегіқоректікзаттар мен ескіргенорганоидтардыыдырататынферменттерге толы көпіршіктер.
	Пластидтер: Текөсімдікжасушаларындаболатын, құрамындапигменттері бар органоидтар. Олардыңішіндееңмаңыздысы — жасылтүсті, фотосинтезгеқатысатынхлоропластар.
	Вакуоль:Жасушашырыныментолтырылғанірікөпіршік. Ол су мен қоректікзаттардыңқорынсақтайдыжәне су тепе-теңдігінреттейді.
4	5. ӨсімдікжәнеЖануаржасушаларынсалыстыру
a3	Өсімдіктер мен жануарларжасушаларыныңқұрылысындаолардыңқоректенужәнетіршілікетутәсілдерінебайланыстыайтарлықтайайырмашылықтар бар.
TABLE	Салыстырубелгілері || Өсімдікжасушасы || Жануаржасушасы /// Сыртқытығызқабырғасы || Бар, целлюлозадантұратынтығызқабықшасыболады. || Жоқ, тек жұқаплазмалықмембранаменқапталады. /// Пластидтер (хлоропласт т.б.) || Бар, фотосинтез арқылыөздігіненқоректенеді. || Мүлдемболмайды. /// Вакуоль || Ірі, орталықтаорналасқанүлкенвакуоліболады. || Тек ұсақ, уақытшавакуольдеріболады. /// Қоректенутипі || Автотрофты (бейорганикалықзаттарданорганикалықзаттүзеді). || Гетеротрофты (дайынорганикалықзаттарменқоректенеді). /// Қосалқықоректіккөмірсуы || Крахмал түріндежиналады. || Гликоген түріндежиналады.
4	6. БіржасушалыжәнеКөпжасушалыағзалар
	Біржасушалыағзалар:Денесі тек бірғанажасушадантұрады, бірақбұлжасушадербестіршілікиесініңбарлыққасиеттерін (тынысалу, қоректену, бөліпшығару, көбею) атқарады. Мысалдар: бактериялар, амеба, жасыл эвглена, кірпікшелікебісше.
	Көпжасушалыағзалар:Денесімиллиондаған, миллиардтағанжасушаларданқұралады. Жасушаларатқаратынқызметтерінеқараймаманданып, ұлпаларды, ал ұлпаларбірігіпмүшелердіқұрайды. Мысалдар: өсімдіктер, жануарлар, адам.
4	7. Микроскоппенжұмысістеулогикасы мен ұлғайтуформуласы
a3	Жасушалардызерттеуүшінқолданылатынбастықұрал — микроскоп.
a3	Микроскоптыңұлғайтудәрежесінесептеу:Микроскоптыңзерттелетіннысандынешеесеүлкейтетінінбілуүшінокулярдағыкөрсеткіштіобъективтегікөрсеткішкекөбейтуқажет: \[\text{Ұлғайтудәрежесі} = \text{Окулярдыңұлғайтуы} \times \text{Объективтіңұлғайтуы}\] Мысалы:Егерокулярда \(10\times\), ал объективте \(40\times\) депжазылыптұрса, онда микроскоп нысанды \(10 \times 40 = 400\) есеүлкейтіпкөрсетеді.
a3	Микроскоппенжұмысістеуалгоритмі:
	Микроскоптыжарықжақсытүсетінтегісжергеорнатып, айнасыарқылыжарықтыбағыттау.
	Дайындалғануақытшамикропрепараттызаттықүстелшегеқойып, қысқыштарменбекіту.
	Бұранданы (винтті) бұрайотырып, тубусты (түтікті) объектив шынысыпрепаратқатиіпкетпейтіндейарақашықтықта (қауіпсіздікүшінсырттанбақылап) ақырынтүсіру.
	Окулярданқарайотырып, бұранданыжоғарықарайбаяубұрап, кескінанықкөрінгеншефокустыреттеу.
4	8. Маңызды хронология жәнеғалымдардыңүлесі
	1665 жыл — Роберт Гук:Англиялықғалымтұңғышретмикроскоппентоздың (ағашқабығының) жұқакесіндісінқарап, оныңұсақұяшықтардантұратынынкөрді. Ол осы ұяшықтарды грек тілінде «бөлімше» немесе «қапас» дегенмағынаныбілдіретін«жасуша» (клетка)депатады.
	XVII ғасырдыңсоңы — Антоний ван Левенгук:Өзіжасағанжетілдірілген микроскоп арқылысудағыбіржасушалықарапайымағзаларды (бактерияларды) алғашреткөрдіжәнесипаттады.
	ХІХ ғасырдыңортасы — Т. Шванн және М. Шлейден:Жасушатеориясыныңнегізінқалап, барлықтіріағзалардың (өсімдіктер мен жануарлардың) жасушадантұратынындәлелдеді.
4	9. Сандықжәнесапалықкөрсеткіштер
	Жасушаларөлшемі:Өсімдіктердіңкөптегенжасушаларыныңөлшемі0,01–0,1 ммаралығындаболады.
	Жапырақтағыжасушалар саны:Үлкенағаштың тек бірғанажапырағыныңқұрамында100 миллионнанастамжасушаболады.
	Көзгекөрінетінерекшежасушалар: Апельсин мен лимонныңішкіжұмсақбөлігініңшырындықапшықтары (жасушалары) құралсызжайкөзгеанықкөрінеді.
	Адамдағымикроәлем: Адам ағзасындатіршілікететінпайдалыбактериялардыңжалпысалмағышамамен1,8 кгқұрайды.
	Микроорганизмдердіңтаралукөрсеткіші:Оқушыпартысындағыбактериялар саны әдеттегіәжетханадағыдан400 есекөп, ал ұялы телефон бетіндегібактериялар унитаз тұтқасынан18 есекөпболады.
4	10. Қазақстанғақатыстынақтымысалдар
	Академик ҚанышСәтбаев:ҚазақстанҒылымакадемиясыныңтұңғышпрезиденті. Оныңотандықғылымның, соныңішіндежаратылыстанубағытыныңдамуынақосқанүлесіорасанзор. Ғалымныңқұрметінеелімізде12 сәуір — Ғылымқызметкерлерікүніболыпатапөтіледі.
	Биофизика және биотехнология заңдылығы:Жергіліктіғылыми-зерттеуинституттарындабиофизикалықзаңдардымедициналықдиагностикада (мысалы, көздіңоптикалықжүйелері) пайдаланужәнеашытқысаңырауқұлақтарыныңжасушалықәрекетінегізіндефармацевтикалықпрепараттарәзірлеужұмыстарыкеңіненжүргізілуде.
4	11. Зерттеутәжірибесі: «Өсімдікжасушаларыныңқұрылысынбақылау»
	Мақсат:Пиязқабығыныңмысалындаөсімдікжасушасыныңнегізгібөліктерінмикроскоппенанықтау.
	Гипотеза:Егерпияздыңуақытшамикропрепаратындайындап, оны йод ерітіндісіменбоясақ, ондажасушақабырғасы, цитоплазма және ядро анықкөрінеді.
	Құралдар: Микроскоп, пияз басы, заттықжәнежабындықшынылар, ине, су, тамшуыр, әлсіз йод ерітіндісі.
	Айнымалылар:
	Тәуелсізайнымалы:Препараттыбояуәдісі (йодпенбоялғанжәнебоялмағанпиязқабығы).
	Тәуелдіайнымалы: Ядро мен жасушақабырғасының микроскоп астындакөріну (анықтық) деңгейі.
	Бақыланатынжағдайлар:Микроскоптыңүлкейтудеңгейі, жарық көзі.
	Нәтиже:Боялмағанпиязқабығындажасушақұрылымдарынашаркөрінеді. Ал йод қосылғанпрепаратта ядро қоңыр-сарытүскебоялып, жасушаларбіріне-бірітығызорналасқансопақшакірпіштертәріздіөтеанықбайқалады.
	Қорытынды:Пиязқабығыжасушалардантұрады. Бояуәдісіжасушаныңішкіорганоидтары мен негізгібөліктерінзерттеудіжеңілдетеді.
4	12. Оқушыларжиішатастыратынұғымдар
	Жасушақабықшасы (мембрана) жәнеЖасушақабырғасы (қабық):
	Қатетүсінік:Екеуібірнәрсе, жануаржасушасының да сыртындатығызқабықболады.
	Ғылымиақиқат:Жасушамембранасыбарлықжасушаларда бар жұқажарғақ. Ал целлюлозадантұратынжасушақабырғасы (тығызқабық) тек өсімдіктерге, саңырауқұлақтар мен бактерияларғатән, олжасушағапішін мен тірекбереді. Жануарлардаолболмайды.
	Өсужәне Даму:
	Қатетүсінік:Бұлекіұғымтолық синоним.
	Ғылымиақиқат:Өсу — бұлсандықөзгеріс (жасуша саны мен өлшемініңартуы). Даму — бұлсапалықөзгеріс (мүшелердіңкүрделіленуі, жаңақызметтергебейімделу).
	Органоид жәнеМүше (Орган):
	Қатетүсінік:Жасушаныңішіндебүйрек, асқазансияқтымүшелерболады.
	Ғылымиақиқат:Мүше — көпжасушалыағзаныңбөлігі. Органоид — тек жасушаішіндегібелгілібірқызметтіатқаратынұсақмикроқұрылым (митохондрия, лизосома т.б.).
4	13. Естесақтауғатиіс 10 маңызды факт
	Жасуша — тіріағзалардыңеңкішіқұрылымдықжәнетіршілікбірлігі.
	Вирустар — жасушасызтіршілікиелеріболыптабылады.
	Жасушаныңнегізгіүшбөлігі: қабықша, цитоплазма және ядро.
	Өсімдікжасушасындапластидтер (хлоропластар) мен ірі вакуоль болады.
	Жануаржасушасындатығызжасушақабырғасы (қабық) болмайды.
	Митохондрия — жасушаның энергия көзі (АТФ өндіруорны).
	Роберт Гук 1665 жылыжасушаныалғашреташты.
	Жасушаөлшемінегізіненмикролиттікшамаларды (0,01-0,1 мм) құрайды.
	Микроскоптыңүлкейтуі окуляр мен объектив көрсеткіштерініңкөбейтіндісінетең.
	ҚанышСәтбаевтыңқұрметінеелімізде 12 сәуірҒылымқызметкерлерікүніболыпжарияланған.
4	14. Тереңдетілген деңгей: НИШ/РФМШ Challenge
	Жасушатеориясыныңіргелізаңдылығы (Р. Вирхов қағидасы):Жасушаөздігіненбейорганикалықзаттарданжаратылмайды, ол тек бұрыннан бар аналықжасушаныңбөлінуі (көбеюі) арқылығанапайдаболады («Әрбіржасушажасушадан»).
	Биофизикалықзаңдылықтардыңықпалы:Тіріжасушалардағыфизикалыққұбылыстар (оптикалықжүйеретіндегікөздіңжұмысы, жасушамембранасындағыпотенциалдарайырмасы) жаратылыстанудыңинтеграциялықнегізінқұрайды.
	МембрананыңтаңдамалыөткізгіштігіжәнеКөлікжүйесі (Транспорт):Жасушамембранасызаттардыжайғанаөткізіпқоймайды. Кішімолекулалар диффузия немесе осмос (пассивтітасымал) арқылыөтсе, іріиондар АТФ энергиясынжұмсауарқылыарнайымембраналықнәруыз-каналдар (активтітасымал) арқылыөтеді.
	Тіршіліктіңқұрылымдықиерархиясы:Тіріматерияныңқұрылымыөзарабағыныштыжүйелікдеңгейлердентұрады: Молекулалық → Жасушалық → Ұлпалық → Мүшелік → Ағзалық → Популяциялық-түрлік → Биогеоценоздық → Биосфералық.
	Гомеостатикалықөзін-өзіреттеу (Керібайланыспринципі):Ағзаныңішкітұрақтылығыкибернетикалықтеріскерібайланысжүйесіарқылыіскеасады. Сыртқыортаданкелгенауытқудеңгейіреттеушіорталықтардаталданып, ағзаныңреакциясынқарама-қарсыбағыттаөзгертеді (мысалы, денетемпературасыкөтерілгендетердіңкөпбөлінуіарқылысуыту).
