TITLE	ЭКОЛОГИЧЕСКАЯ ПИРАМИДА И ПОТОК ЭНЕРГИИ
4	1. Сущность темы и основные научные понятия
a3	Жизнедеятельность и устойчивость экосистем непосредственно зависят от непрерывного переноса веществ и энергии между их компонентами. Важнейшую основу этих связей составляют пищевые взаимодействия.
	Пищевая (трофическая) цепь: система взаимосвязанных организмов, в которой при питании происходит последовательная передача органических веществ и заключённой в них энергии.
	Трофические уровни: положение организмов в пищевой цепи. Первый уровень занимают продуценты, последующие — консументы разных порядков.
	Экологическая пирамида: графическое представление количественных, биомассовых или энергетических соотношений между продуцентами и консументами разных трофических уровней экосистемы.
	Передача вещества и энергии: процесс перехода органических молекул и энергии, запасённой в их химических связях, от одного организма к другому в ходе питания.
	Изменение численности организмов: закономерность изменения количества особей на разных трофических уровнях. В устойчивых экосистемах численность организмов нередко уменьшается по направлению от нижних уровней к верхним.
	Системное воздействие: исчезновение или чрезмерное увеличение численности одного вида в пищевой цепи может нарушить равновесие всей экосистемы.
	Чтение моделей и диаграмм: экологические пирамиды изображают графически, например в виде ступенчатого треугольника, и анализируют представленные в них количественные соотношения.
4	2. Механизм и этапы явлений и процессов
5	Механизм движения энергии от Солнца к редуцентам:
	Поглощение солнечной энергии (первый этап): функционирование большинства экосистем зависит от постоянного внешнего источника энергии — Солнца. Автотрофные продуценты — зелёные растения и фитопланктон — в процессе фотосинтеза преобразуют световую энергию в химическую энергию органических веществ.
	Передача через консументов (второй этап): растительноядные животные — консументы первого порядка — получают органические вещества и часть накопленной в них энергии, поедая растения. Затем хищники — консументы второго и третьего порядков — получают энергию, поедая растительноядных и других животных.
	Переход к редуцентам (заключительный этап): органическое вещество поступает к редуцентам от продуцентов и консументов разных уровней после их гибели или с отходами жизнедеятельности. Микроорганизмы и грибы разлагают эти остатки до более простых, в том числе неорганических, веществ.
5	Направленность потока энергии:
a3	Почему энергия не передаётся от консументов третьего порядка обратно к консументам первого порядка? Поток энергии в экосистеме имеет направленный характер: энергия поступает от Солнца к продуцентам, в-ваем к растительноядным и хищникам; на каждом этапе значительная её часть рассеивается в форме тепла.
4	3. Системные причинно-следственные связи
a3	Внутреннюю динамику экосистем можно описывать следующими причинно-следственными связями:
	Связь 1 (механизм прямой и обратной связи):
	Причина: чрезмерное увеличение популяции зайцев в лесу.
	Процесс: обилие зайцев увеличивает кормовую базу лис и способствует росту их популяции — положительная прямая связь.
	Следствие: при увеличении численности лис количество их добычи — зайцев — начинает уменьшаться; это отрицательная обратная связь, способствующая возвращению системы к динамическому равновесию.
	Связь 2 (уничтожение лесов и атмосферное равновесие):
	Причина: в исходном материале указано, что за последние 30 лет вследствие деятельности человека было уничтожено 30% лесов планеты.
	Процесс: поскольку в исходном материале лесам приписывается производство 50% атмосферного кислорода, их сокращение связывается со снижением глобальной интенсивности фотосинтеза.
	Следствие: возрастает риск нарушения газового состава атмосферы и изменения климата.
4	4. Важные закономерности и сравнения
5	Три типа экологических пирамид (сравнительная классификация):
a3	Согласно учебному материалу экологические пирамиды подразделяются на три типа:
TABLE	Тип пирамиды || Определение и значение || Основная закономерность || Особый пример /// Пирамида биомассы || Показывает массу живого вещества на разных трофических уровнях. || В наземных экосистемах биомасса обычно уменьшается к верхним уровням. || В некоторых водных экосистемах пирамида мгновенной биомассы может быть обращённой из-за высокой скорости обновления фитопланктона. /// Пирамида энергии || Показывает поток энергии через последовательные трофические уровни. || Количество доступной энергии уменьшается при переходе на следующий уровень. || Не бывает обращённой, поскольку поток энергии последовательно уменьшается. /// Пирамида численности || Показывает соотношение числа особей на разных трофических уровнях. || Часто число продуцентов превышает число консументов, но возможны исключения. || В экосистеме одного крупного дерева на нём могут питаться тысячи насекомых, поэтому форма пирамиды численности может быть необычной.
4	5. Учёные, внесшие вклад в изучение темы
	Раймонд Линдеман — 1942 г.: исследовал перенос энергии и вещества в экосистемах и сформулировал закономерность передачи энергии между трофическими уровнями, известную как правило 10 процентов.
	В. И. Вернадский: развивал представления о целостности геосфер и биосферы и подчёркивал ответственность человеческого общества за взаимодействие с природой.
4	6. Важные количественные и качественные данные
5	А) Количественные данные:
	Правило 10%: в упрощённой школьной модели от одного трофического уровня к следующему в среднем переходит около 10% энергии и соответствующей продукции.
	Закономерность уменьшения примерно в 10 раз: продукция организмов каждого следующего трофического уровня в среднем значительно меньше продукции предыдущего.
	Глобальный баланс атмосферного кислорода: в исходном материале указано, что фитопланктон Мирового океана производит 50% атмосферного кислорода, а остальные 50% обеспечивают наземные леса.
	Динамика сокращения лесных ресурсов: в исходном материале указано, что за последние 30 лет вследствие хозяйственной деятельности человека было безвозвратно утрачено 30% лесов.
5	Б) Качественные покав-ваели (ступенчатый пример океанической экологической пирамиды):
a3	При рассмотрении количественных и биомассовых соотношений в океанической пищевой цепи в исходном материале приводится следующая последовательность:
	10 000 кг фитопланктона — продуценты, зелёные водоросли поверхностных вод;
	1 0000 кг зоопланктона — мелкие водные животные и ракообразные, консументы первого порядка;
	100 кг молодой сельди — мелкие рыбы, консументы второго порядка;
	10 кг скумбрии — хищные рыбы среднего уровня, консументы третьего порядка;
	1 кг акулы — крупный хищник, консумент высшего порядка.
4	7. Формулы и примеры расчётов
5	Математическая модель экологической пирамиды:
a3	где  — число переходов (ступеней) между трофическими уровнями.
5	Сложная задача (масса выдры и водорослей):
a3	Задание по учебному материалу: рассчитайте массу водорослей, необходимую для существования выдры массой 25 кг, которая питается рыбой, поедающей мелких водных животных и ракообразных, питающихся водорослями.
a3	Решение:
	На основе текста и источников составляем пищевую цепь: водоросли (продуцент) → ракообразные (консумент первого порядка) → рыбы (консумент второго порядка) → выдра (консумент третьего порядка).
	Используя правило 10% в обратном направлении, рассчитываем необходимую биомассу начиная с выдры:
	Масса выдры (консумент третьего порядка) = 25 кг
	Необходимая масса рыб (консумент второго порядка) =
	Необходимая масса ракообразных (консумент первого порядка) =
	Необходимая масса водорослей (продуцент) =  (или 25 тонн)
a3	Ответ: для поддержания существования выдры массой 25 кг, согласно данной модели, в экосистеме должно образоваться 25 000 кг (25 т) водорослей.
4	8. Конкретные примеры, связанные с Казахстаном
	Лесостепная экосистема: продуценты (ель, берёза, тополь) → консументы первого порядка (короеды, белки, лоси) → консументы второго порядка (дятлы, куницы) → консументы третьего порядка (ястребы, лисы).
	Водные экосистемы реки Или и Каспийского моря: продуцентами служат водоросли и фитопланктон; ими питаются ракообразные и зоопланктон, далее в цепь включаются рыбы, в том числе хищные виды.
	Пустынная экосистема: один из основных продуцентов — глубоко укореняющаяся верблюжья колючка, которой питается консумент первого порядка — верблюд.
4	9. Пример практического исследования
a3	Тема: «Создай замкнутую экосистему своими руками» — проектная работа по учебному материалу.
	Цель: исследовать устойчивость обмена веществ и энергии между автотрофными продуцентами и редуцентами в герметично закрытом пространстве.
	Гипотеза: если поместить в стеклянный сосуд влажную почву и растение, герметично закрыть его и поставить на свет, внутренний круговорот воды и газов позволит системе длительное время поддерживать жизнедеятельность растения.
	Оборудование: стеклянная банка, герметичная крышка, влажная почва, небольшое влаголюбивое растение, вода.
	Переменные:
	Независимая переменная: наличие солнечного освещения.
	Зависимая переменная: продолжительность жизнедеятельности растения в днях.
	Контролируемые условия: полная герметичность соводы, состав почвы.
