TITLE	ЗЕМЛЯ КАК ЦЕЛОСТНАЯ СИСТЕМА
4	1. Сущность темы и основные научные понятия
a3	Земля — не просто планета, а сложная целостная система, все компоненты которой тесно взаимосвязаны.
	Географическая оболочка: целостная и непрерывная оболочка Земли, в пределах которой соприкасаются и взаимодействуют литосфера, атмосфера, гидросфера и биосфера.
	Природно-территориальный комплекс (ПТК): закономерное сочетание природных компонентов на определённой территории — горных пород, воды, воздуха, почвы, растительности и животного мира.
	Системная целостность: важная географическая закономерность, при которой изменение одного компонента приводит к изменениям всей системы.
4	2. Строение и состав оболочек Земли
a3	Земля включает четыре основные оболочки (сферы):
	Литосфера (каменная оболочка): состоит из земной коры и верхней части мантии до астеносферы.
	Особенность строения: земная кора и верхняя мантия разделены границей Мохоровичича, на которой изменяются скорости распространения сейсмических волн.
	Атмосфера (воздушная оболочка): внешняя газовая оболочка Земли.
	Состав: азот (78,09 %), кислород (20,95 %), инертные газы (0,93 %), углекислый газ (0,03 %).
	Строение: тропосфера, стратосфера, мезосфера, термосфера, экзосфера.
	Гидросфера (водная оболочка): совокупность всех вод Земли — океанов, рек, ледников и подземных вод.
	Биосфера (оболочка жизни): область распространения живых организмов и преобразованная их деятельностью часть земных оболочек.
4	3. Механизм взаимосвязи оболочек Земли
a3	Сферы Земли взаимопроникают и непрерывно обмениваются веществом и энергией.
	Причина → процесс → следствие:
	Причина: солнечная энергия нагревает земную поверхность.
	Процесс: вода испаряется и поступает в атмосферу, в-ваем конденсируется с образованием облаков и выпадает в виде осадков на поверхность литосферы.
	Следствие: горные породы выветриваются, формируются и обогащаются почвы, развивается растительность.
4	4. Условия, необходимые для жизни на Земле
a3	Земля является единственной известной планетой, на которой существует жизнь. Этому способствуют следующие факторы:
	Благоприятное расстояние от Солнца: около 150 млн км. При значительно меньшем расстоянии условия способствовали бы интенсивному испарению воды, а при значительно большем — её замерзанию.
	Оптимальные размеры и масса планеты: обеспечивают достаточную силу притяжения для удержания атмосферы.
	Озоновый слой: защищает живые организмы от значительной части опасного ультрафиолетового излучения.
	Жидкая вода и кислород: важнейшие условия и компоненты среды существования многих форм жизни.
4	5. Учёные, внесшие вклад в развитие темы
	В. И. Вернадский (1863–1945): один из основоположников учения о биосфере; подчёркивал необходимость интеграции наук при исследовании сложных природных проблем.
	В. В. Докучаев (1846–1903): обосновал закономерности природной зональности и рассматривал природный комплекс как систему взаимосвязанных компонентов.
	Каныш Сатпаев (1899–1963): исследователь недр Казахстана, один из основателей казахстанской школы металлогении.
	Уфа Ахмедсафин (1912–1984): гидрогеолог, исследовавший крупные запасы подземных вод в пустынных районах Казахстана.
	Александр Гумбольдт: обосновал закономерность вертикальной зональности (высотной поясности).
4	6. Важные количественные данные
	Средний радиус Земли: 6371 км.
	Мощность географической оболочки: около 40 км (в отдельных источниках указываются значения до 100 км).
	Границы биосферы: в атмосфере — до высот около 20 км, в гидросфере — до глубин около 11 км, в литосфере — до глубин 3,5–7,5 км.
	Высота расположения основного озонового слоя: приблизительно 20–25 км.
4	7. Конкретные примеры, связанные с Казахстаном
	Байконур: расположенный в Кызылординской области первый в мире и один из крупнейших космодромов.
	Зоны экологического бедствия: Приаралье, Семипалатинский испытательный полигон, нефтедобывающие районы побережья Каспия — примеры нарушения природного равновесия.
	Водные ресурсы: в Казахстане насчитывается более 85 тысяч рек и временных водотоков, однако страна относится к регионам с ограниченными водными ресурсами.
4	8. Исследовательский опыт: «Целостность географической оболочки»
	Цель: покав-ваь, как изменение одного природного компонента влияет на другие.
	Гипотеза: если осушить болото, изменятся окружающая растительность и свойства почвы.
	Независимая переменная: снижение уровня воды вследствие осушения.
	Зависимая переменная: изменение видового состава растений и уменьшение влажности почвы.
	Результат: понижается уровень грунтовых вод, сокращается количество влаголюбивых растений, усиливаются эрозионные процессы.
	Вывод: географическая оболочка представляет собой целостную систему; изменение одного звена вызывает изменения в других компонентах.
4	9. Понятия, которые учащиеся часто путают
	Литосфера и земная кора: земная кора — верхняя твёрдая оболочка Земли, а литосфера включает земную кору и часть верхней мантии.
	Природный процесс и явление: процесс — изменение, протекающее во времени (например, горообразование); явление — наблюдаемое проявление природного процесса в конкретный момент или период (например, землетрясение).
4	10. 12 основных фактов по теме
	Последовательность формирования оболочек Земли:
	Солнце — основной внешний источник энергии процессов географической оболочки.
	В географической оболочке вещества встречаются в трёх основных агрегатных состояниях — твёрдом, жидком и газообразном.
	Почва — результат взаимодействия компонентов живой и неживой природы.
	Наибольшая концентрация жизни наблюдается в области взаимодействия земных оболочек.
	Круговорот воды — один из основных процессов, обеспечивающих связь оболочек Земли.
	Ритмичность — закономерная повторяемость природных процессов и явлений во времени, например смена дня и ночи.
	Озоновый слой выполняет функцию естественного защитного «экрана».
