TITLE	ФИЗИЧЕСКИЕ И ХИМИЧЕСКИЕ ИЗМЕНЕНИЯ. СМЕСИ
4	1. Сущность темы и основные научные понятия
a3	Материальный мир постоянно изменяется. Все изменения, происходящие с веществами в природе и лаборатории, можно условно разделить на две основные группы:
	Физические изменения (явления): изменения, при которых химический состав вещества не изменяется, а изменяются его агрегатное состояние, форма, размеры или положение в пространстве.
	Химические изменения (реакции): процессы превращения одних веществ в другие. При этом разрушаются и образуются химические связи, в результате чего возникают вещества с новым составом и свойствами.
	Чистое вещество: форма вещества, состоящая из частиц одного химического состава и обладающая характерными постоянными физическими свойствами.
	Смесь: система, состоящая из двух или более различных веществ. Состав смеси может изменяться, а её компоненты в значительной степени сохраняют свои индивидуальные свойства.
	Раствор: однородная система, состоящая из растворителя и растворённого вещества или нескольких растворённых веществ.
4	2. Механизмы и этапы протекания явлений
5	А) Механизм физического изменения на молекулярном уровне:
a3	При физическом изменении химический состав молекул вещества не изменяется. Например, при кипении воды или таянии льда молекулы воды сохраняются, изменяются лишь расстояния между ними, характер движения и взаимодействия.
5	Б) Механизм химического изменения:
a3	При химическом превращении происходит перераспределение химических связей между атомами.
	Начальный этап (реагенты): частицы взаимодействующих веществ сталкиваются между собой.
	Промежуточный этап (активированный комплекс): старые химические связи ослабевают и разрываются.
	Конечный этап (продукты): атомы соединяются в новом порядке, образуя новые молекулы и вещества.
5	Пять основных внешних признаков химической реакции:
a3	О протекании химического изменения могут свидетельствовать следующие наблюдаемые признаки:
	Образование или исчезновение осадка.
	Изменение цвета, например изменение окраски индикатора в кислой или щелочной среде.
	Выделение газа, например образование пузырьков при взаимодействии пищевой соды и уксусной кислоты.
	Выделение или поглощение теплоты — признак экзотермических или эндотермических процессов.
	Появление нового запаха или изменение других органолептических признаков, например при скисании молока или гниении.
4	3. Причинно-следственные связи
a3	Научное мышление объясняет физические и химические изменения через причинно-следственные закономерности:
	Пример 1. Химический круговорот в природе:
	Причина: воздействие солнечного света и углекислого газа на клетки зелёных растений.
	Процесс: реакции фотосинтеза в хлоропластах.
	Следствие: образование органических веществ, в том числе глюкозы, и выделение кислорода в атмосферу.
	Пример 2. Промышленный процесс:
	Причина: длительное пребывание органических остатков в земной коре при высоких давлении и температуре.
	Процесс: углефикация и связанные с ней геологические преобразования органического вещества.
	Следствие: образование каменного угля — важного вида ископаемого топлива.
4	4. Классификация и сравнение веществ и смесей
5	Различия между чистым веществом и смесью:
TABLE	Характеристика || Чистое вещество || Смесь /// Состав || Постоянный (частицы одного вещества). || Переменный (совокупность различных веществ). /// Свойства || Характерны постоянные физические свойства, в том числе температуры фазовых переходов для чистого вещества. || Компоненты в смеси сохраняют многие собственные свойства. /// Разделение || Физическими методами на другие вещества не разделяется. || Может быть разделена физическими методами, основанными на различии свойств компонентов.
5	Классификация смесей:
	Однородные (гомогенные) смеси: отдельные компоненты невозможно различить невооружённым глазом; частицы распределены на молекулярном или ионном уровне. Примеры: раствор соли, воздух, смесь воды и спирта.
	Неоднородные (гетерогенные) смеси: компоненты или границы фаз можно различить визуально или с помощью приборов. Примеры: вода и песок, смесь железного порошка и мела, масло и вода.
4	5. Методы разделения смесей и критерии их выбора
a3	Для разделения смесей в лаборатории и промышленности используют различия физических свойств компонентов: плотности, температуры кипения, растворимости, магнитных свойств и других характеристик.
HTML0	[МЕТОДЫ РАЗДЕЛЕНИЯ СМЕСЕЙ]
HTML0	│
HTML0	┌─────────────────┴─────────────────┐
HTML0	│                                   │
HTML0	[Разделение неоднородных смесей]        [Разделение однородных смесей]
HTML0	│                                   │
HTML0	├──► Фильтрование                    ├──► Выпаривание
HTML0	│    пример: вода + песок            │
HTML0	│                                   ├──► Дистилляция
HTML0	├──► Отстаивание (декантация)        │
HTML0	│    пример: вода + глина            └──► Кристаллизация
HTML0	│
HTML0	└──► Магнитное разделение
HTML0	пример: железо + мел
5	Характеристика основных методов:
	Фильтрование: отделение нерастворимых твёрдых частиц от жидкости. Критерий выбора — различие в растворимости и размере частиц.
	Отстаивание (декантация): разделение систем с различной плотностью или несмешивающихся жидкостей. Критерий выбора — различие плотности и способность компонентов образовывать отдельные слои.
	Выпаривание: выделение растворённого твёрдого вещества из раствора путём удаления растворителя.
	Дистилляция: разделение взаимно растворимых жидкостей или выделение растворителя на основе различий температур кипения.
	Магнитная сепарация: отделение магнитных компонентов от немагнитных. Метод применяют, например, к железу, кобальту и никелю.
4	6. Учёные и хронология основных открытий
	V в. до н. э. — Демокрит: высказал предположение о том, что вещества состоят из мельчайших неделимых частиц — атомов.
	XVII в. (1627–1691) — Роберт Бойль: исследовал кислотность и щёлочность веществ и применял индикаторы, в том числе лакмус.
	1789 г. — Антуан Лавуазье: сформулировал закон сохранения массы и показал, что в замкнутой системе суммарная масса реагентов равна суммарной массе продуктов реакции.
	Начало XX в. — Фриц Хенкель: внёс вклад в развитие промышленной бытовой химии и производство первых синтетических моющих средств.
4	7. Важные количественные и качественные данные
5	Качественные и количественные покав-ваели реакции среды (pH):
a3	Кислые, нейтральные и щелочные свойства растворов можно определять по изменению окраски индикаторов.
TABLE	Вид жидкости || Значение pH (количественное) || Характер среды || Цвет лакмуса (качественный) /// Лимонный / яблочный сок ||  || Кислая || Красный /// Чистая (дистиллированная) вода ||  || Нейтральная || Фиолетовый (не изменяется) /// Раствор хозяйственного мыла ||  || Щелочная || Синий
5	Формула массовой доли растворённого вещества:
a3	Массовая доля определяется как отношение массы растворённого вещества к общей массе раствора.
5	Пример расчёта:
a3	Задача: в воде растворили определённую массу поваренной соли. Определите массовую долю соли в полученном растворе. Решение:
	1. Находим общую массу раствора:
	2. Рассчитываем массовую долю соли. Ответ: массовая доля соли составляет ...
4	8. Примеры, связанные с Казахстаном и миром
	Темиртауский металлургический комбинат: один из крупнейших центров производства чугуна и стали в Казахстане. Здесь протекают химические процессы восстановления железа из руд с использованием кокса.
	Жезказганский медеплавильный завод: при переработке медных руд происходят высокотемпературные химические процессы, направленные на получение меди из соединений, содержащихся в руде.
	Солевые месторождения Прикаспия: в Западном Казахстане имеются значительные запасы солей. В природных условиях при испарении воды под действием солнечного тепла соли кристаллизуются.
4	9. Пример практического исследования
a3	Тема: «Разделение трёхкомпонентной неоднородной смеси песка, соли и железного порошка на основе физических свойств».
	Цель: разделить смесь на отдельные компоненты, используя различия магнитных свойств, растворимости и других физических характеристик.
	Гипотеза: если железо притягивается магнитом, соль растворяется в воде, а песок нерастворим, то смесь можно разделить последовательным применением магнитной сепарации, фильтрования и выпаривания.
	Оборудование: смесь песка, поваренной соли и железного порошка, магнит, стакан, вода, фильтровальная бумага, воронка, выпарительная чашка, нагреватель.
	Переменные:
	Независимая переменная: применяемые способы физического воздействия — магнитное разделение, добавление воды, фильтрование и нагревание.
	Зависимая переменная: количество и качество выделенных компонентов.
	Контролируемые условия: объём и температура воды, размер и свойства фильтра.
	Ход опыта и результат:
	Этап 1: подносим магнит к смеси. Железный порошок притягивается к магниту и отделяется от остальных компонентов.
	Этап 2: к оставшейся смеси песка и соли добавляем воду. Соль растворяется, песок остаётся нерастворимым.
	Этап 3: смесь пропускаем через фильтр. Песок остаётся на фильтре, а раствор соли проходит через него.
	Этап 4: раствор соли нагреваем и выпариваем воду. В сосуде остаются кристаллы соли.
	Вывод: различия физических свойств компонентов позволяют последовательно разделить неоднородную смесь на отдельные вещества.
4	10. Понятия, которые учащиеся часто путают
	Растворение соли в воде — физическое или химическое изменение?
	Ошибочное представление: соль «исчезает» в воде, значит образуется новое вещество и происходит химическая реакция.
	Научное объяснение: растворение сопровождается взаимодействием частиц растворённого вещества и растворителя, однако в школьном курсе его обычно рассматривают как физический процесс, поскольку соль можно вновь выделить из раствора выпариванием воды.
	Кипение воды и электролиз воды:
	Ошибочное представление: в обоих процессах образуется газ, следовательно, оба являются химическими реакциями.
	Научное объяснение: кипение — физическое явление, при котором изменяется агрегатное состояние, но молекулы воды сохраняются. Электролиз — химическое превращение, при котором вода разлагается с образованием водорода и кислорода.
	Сложное вещество и смесь:
	Ошибочное представление: поскольку оба содержат несколько компонентов или элементов, между ними нет принципиальной разницы.
	Научное объяснение: в сложном веществе атомы химически связаны в определённом соотношении, тогда как в смеси вещества могут присутствовать в разных пропорциях и не образуют единого химического соединения.
4	11. 10 важных фактов, которые следует запомнить
	При физическом изменении новые вещества не образуются.
	Химическое изменение сопровождается образованием веществ с новым составом и свойствами.
	Взаимодействие пищевой соды с уксусной кислотой — пример химической реакции с выделением газа.
	Фотосинтез, горение, гниение и ржавление относятся к химическим изменениям.
	В природе вещества часто встречаются в виде смесей.
	Смеси подразделяются на однородные (гомогенные) и неоднородные (гетерогенные).
	Магнитное разделение основано на различиях магнитных свойств компонентов.
	Фильтрование эффективно для отделения нерастворимых твёрдых частиц от жидкости.
	Дистиллированная вода имеет близкую к нейтральной реакцию среды (pH около 7) и не изменяет окраску нейтрального лакмуса.
	Масса раствора равна сумме масс растворителя и растворённого вещества при отсутствии потерь.
4	12. Углублённый уровень: НИШ/РФМШ Challenge
	Закон сохранения массы веществ (закон Ломоносова — Лавуазье): в замкнутой системе суммарная масса веществ до реакции равна суммарной массе веществ после реакции. Атомы не исчезают, а перераспределяются между продуктами.
	Физическое и химическое равновесие: в закрытой системе при равенстве скоростей испарения и конденсации устанавливается динамическое физическое равновесие. В обратимых химических реакциях динамическое равновесие устанавливается при равенстве скоростей прямой и обратной реакций.
	Ионный механизм нейтрализации: при взаимодействии кислоты и щёлочи образуются соль и вода. Основой процесса является взаимодействие ионов водорода H⁺ и гидроксид-ионов OH⁻ с образованием молекул воды.
	Коллоидные системы и истинные растворы: суспензии и эмульсии являются дисперсными системами и со временем могут расслаиваться или осаждаться. Истинные растворы молекулярно или ионно однородны и не образуют осадка вследствие простого отстаивания.
	Хроматография: современный метод разделения сложных смесей, основанный на различии распределения и сорбции компонентов между подвижной и неподвижной фазами; применяется, например, для разделения растительных пигментов и красителей.
