TITLE	ТЕМПЕРАТУРА, ЖЫЛУ ЖӘНЕ ЖЫЛУЛЫҚ ҚҰБЫЛЫСТАР
4	1. Тақырыптыңмәні мен негізгіғылымиұғымдары
a3	Табиғаттағыбарлықфизикалықденелер мен заттарөзіндікжылулықкүйіменжәнеішкіқұрылымыменерекшеленеді. Жылулыққұбылыстардызерттеудегіеңбастыұғымдардыңбірі — бөлшектердіңқозғалысы.
	Жылулыққозғалыс:Заттықұрайтынмолекулалар мен атомдардыңбейберекет, үздіксізретсізқозғалысы.
	Температура:Заттыңжылулықкүйінсипаттайтынфизикалықшама. Олмолекулалардыңретсізқозғалысыныңорташакинетикалықэнергиясыныңжәне газ қысымыныңсандықөлшеміболыптабылады.
	Ішкі энергия:Заттықұрайтынбарлықбөлшектердіңкинетикалықэнергиялары мен олардыңөзараәрекеттесулерініңпотенциалдықэнергияларыныңқосындысы.
	Жылумөлшері:Жылуалмасуүдерісікезіндедененіңалғаннемесежоғалтқанішкіэнергиясыныңсандықөлшемі.
	Жылуалмасу (жылуберілу):Температурасыжоғарыденедентемпературасытөменденегемеханикалықжұмысатқарылмай-ақішкіэнергияныңберілуүдерісі.
4	2. Құбылыстар мен үдерістердіңмеханизміжәнекезеңдері
5	А) Жылуалмасудыңүшмеханизмі:
a3	Жылуэнергиясыныңбірденеденекіншіденегенемеседененіңбірбөлігіненекіншібөлігінеауысуыкелесіфизикалықзаңдылықтарменжүреді:
	Жылуөткізгіштік: Дене бөлшектерініңтікелейжанасуыжәнеөзараәрекеттесуібарысындаэнергияныңдененіңқызған (ыстық) бөлігіненсалқынбөлігінеқарайберілуі. Металдаржылудыжақсыөткізеді, ал ағаш, су, ауажылудынашарөткізеді.
	Конвекция:Сұйықтықнемесе газ қабаттарының (ағындарының) араласуы мен қозғалысыарқылыжылуэнергиясыныңтасымалдануы. Мысалы, бөлмедегіжылыауажеңілболғандықтанжоғарыкөтеріледі, ал салқынауаауырболғандықтантөментүседі.
	Сәулелікжылуалмасу (Сәулешығару):Энергияныңэлектромагниттіктолқындарарқылыберілуүдерісі. Олүшінешқандайзаттық орта (атмосфера немесесұйықтық) қажетемес — КүнсәулелеріЖерді осы әдіспенжылытады.
5	Ә) Жылулықұлғаю мен температураныөлшеу:
	Денелердіқыздырғанкездеолардыңбөлшектерініңқозғалысыжылдамдап, өзарақашықтығыартады — бұлжылулықұлғаюғаәкеледі.
	Бұлқасиеттермометрлердіңжұмысістеупринципіненегізболған: денеқызуытермометрдегісұйықтыққа (сынап не спиртке) берілгенде, сұйықтықкөлеміұлғайып, шкала бойыменжоғарыкөтеріледі.
4	3. НегізгіСебеп Салдар байланыстары
	1-байланыс (Тығынныңатылуыжәнетұманныңтүзілутәжірибесі):
	Себеп:Тығызжабылғаншыныыдыстыңішінесорғымен (насоспен) ауанымолырақайдау.
	Үдеріс:Ыдысішіндегіауаныңқысымкүшітығындысыртқаитеріпшығарады — ауаныңөзімеханикалықжұмысатқарады.
	Салдар:Атқарылғанжұмысесебіненауаныңішкіэнергиясы мен температурасыкүрттөмендейді. Ыдысішіндегі су буысалқындауәсерінен су тамшыларынаайналып (конденсацияланып), ыдыстадымқылтұманпайдаболады.
	2-байланыс (Судағыгаздыңтемпературағатәуелділігі):
	Себеп: Су қоймасынданемесеыдыста су температурасыныңкөтерілуі.
	Үдеріс: Температура артқанда суда ерігенауамолекулалары мен су буларыныңкөлеміұлғайып, тығыздығыкемиді.
	Салдар:АуырлықкүшіненАрхимедтіңкеріитерушікүші басым болып, көпіршіктер су бетінекөтеріліп, жарылады (қайнаудыңалғашқысатысы). Қыста су бетінқалыңмұзқұрсағандабұл газ алмасуытоқтап, балықтароттегіжетіспеушілігіненжаппайқырылуы (сему) мүмкін.
4	4. Маңыздызаңдылықтар мен салыстырулар
5	А) Заттардыңбалқутемпературасыныңкөрсеткіштері (Салыстыру):
a3	Әрзаттыңкристалдықторыныңберіктігінебайланыстыөзіндіктұрақтыбалқутемпературасыболады:
TABLE	Кристалл заттар || Балқутемпературасы || Тұрмыстықжәнетехникалықмаңызы /// Вольфрам ||  || Еңқиынбалқитын металл, қыздырушамдарыныңқылсымыжасалады. /// Темір ||  || Өндірістікжәне машина жасаусаласындағынегізгіконструкторлық материал. /// Алтын ||  || Бағалыметалдар мен зергерлікбұйымдардыбалқытыпөңдеудеқолданылады. /// Алюминий ||  || Жеңіл металл. Мысалы, алюминий қасықтатемірсынығынбалқытумүмкінемес. /// Мұз / қар ||  || Судыңқаттыкүйденсұйықкүйгеөтуініңіргелітемпературалықшегі.
5	Ә) БуланужәнеҚайнауүдерістерінсалыстыру:
	Булану: Кез келгентемпературада тек сұйықтықтыңашықбетіндеғанажүретінбаяубутүзілуүдерісі. Буланукезіндееңжылдаммолекулаларұшыпшығатындықтан, сұйықтықсалқындайды.
	Қайнау:Сұйықтың тек бетіндеғанаемес, оныңбүкілішкікөлеміндебукөпіршіктерініңпайдаболуыменжүретінқарқындыбутүзілуүдерісі. Ол тек әрсұйықтықүшінбелгілібіртұрақтықайнаутемпературасындажүзегеасады.
4	5. Тақырыпқаүлесқосқанғалымдар мен зерттеушілер
	Граф Румфорд (Бенджамин Томпсон) — 1798 ж.:Зеңбірекұңғысынбұрғылаубарысындамеханикалықүйкелісжұмысыныңесебінентемператураныңкүрткөтерілетініндәлелдеген. Бұрғынысулыыдысқасалып, аттардыңкүшімен 2,5 сағатжұмысістеткенде, бірнеше тонна суды қайнатуғаболатынынтәжірибеменкөрсетіп, жылудыңқозғалыстықтабиғатынашты.
	Уильям Томсон (Лорд Кельвин): Абсолют температуралықшкаланыенгізді. Бұл шкала бойыншанөлдікнүктебөлшектердіңқозғалысытолығыментоқтайтыншекке сай келеді.
	Эванджелиста Торричелли (1643 ж.):Ауаныңсалмағы (атмосфералыққысым) бар екеніндәлелдеп, алғашқысынаптыбарометрдіжасапшығарды.
	Люсьен Види: ХІХ ғасырдасұйықтықсызжұмысістейтіныңғайлыбарометр-анероидтыойлаптапты.
4	6. Маңыздысандықжәнесапалықдеректер
	Қазақстандағыабсолюттітемпературалықрекордтар:
	Абсолют еңжоғарыауатемпературасы:  (1995 жылдың 1 шілдесінде, ҚызылордаоблысыныңҚызылқұмшөліндетіркелді).
	Абсолют еңтөменауатемпературасы:  (1931 жылдың 8 қаңтарында, Шығыс Қазақстан облысының Орловский метеостанциясында тіркелді).
	Отынжануыныңхимиялыққуаты:Қазақстандаөндірілетінбарлықэлектрэнергиясының70%-ы тек қанакөмірдіжағуарқылыалынады. Көміртекатомдарыоттекпенбірігіп, көмірқышқылгазын (СО2) түзедіжәнеүлкенжылубөледі.
	Жылукалориясыныңфизикалықмәні: суды \(1^\circ\text{C}\)-ге қыздыруға қажетті жылу.
	.
	.
4	7. Физикалықформулаларжәнеесептеумысалдары
5	1. Цельсий мен Кельвин шкалаларыныңбайланысы:
5	2. Суды немесеауанықыздыруғақажеттіжылумөлшері:
	— меншіктіжылусыйымдылық
	— масса (кг)
	— температураның өзгеру шамасы.
5	3. Отынтолықжанғандабөлінетінжылумөлшері:
	— отынның меншікті жану жылуы (Дж/кг).
5	ТалдауЕсебі 1 (Бөлмеауасынқыздырушығыны):
a3	Тапсырма:Көлемі бөлмедегі ауаны -ден -ге дейін қыздыру үшін қанша жылу мөлшері шығындалады? (Ауа тығыздығы, меншікті жылусыйымдылығы  = 1000 . Шешуі:
	Ауаныңмассасынтабамыз:  = 63 .
	Формуланықолданамыз:
	Мәндерінқоямыз: Жауабы:Ауанықыздыруүшін(мегаджоуль) жылу шығындалады.
5	ТалдауЕсебі 2 (Сыныпбөлмесіндегі СО2 концентрациясы):
a3	Тапсырма:Көлемі бөлмеде 25адам1,5сағатбойыболды. Әрадамсағатынаорташа 30 л СО2 бөледі. Сыныптағы СО2 концентрациясын есептеп, санитарлықнормағақорытындыжасаңыз. Шешуі:
	Бөлінген СО2 жалпыкөлемі: .
	Текшеметргеайналдыру
	Концентрация: . Қорытынды: СО2 концентрациясырұқсатетілгеншектен аспаған, бірақ адамның тыныс алуы бұзылмауы үшін бөлмені желдету ұсынылады.
4	8. Зертханалықзерттеуүлгісі
a3	Тақырыбы: «Температураларыәртүрлі суды араластырғандағыжылумөлшерлерінсалыстыру».
	Мақсаты:Ыстықсудыңбергенжәнесуықсудыңалғанжылумөлшерлерінесептеп, өзарасалыстыру.
	Гипотеза:Егержүйесыртқыортаменжылуалмаспаса, ондаыстықсудыңбергенжылуысуықсудыңқабылдағанжылуынадәлтеңболады.
	Құралдар: Мензурка (өлшеуішстақан), термометр, калориметр (термос ыдысы), ыстықжәнесуық су.
	Айнымалылар:
	Тәуелсізайнымалы:Ыстық пен суықсудыңбастапқымассалары,  мен температуралары.
	Тәуелдіайнымалы:Араластырғаннанкейінгіқоспаныңсоңғы тепе-теңдіктемпературасы.
	Бақыланатынжағдайлар:Калориметрдіңжылуоқшаулаудеңгейі.
	Тәжірибебарысы:
	Суықсудыңm1массасы мен t1​температурасынөлшепжазыпаламыз.
	Ыстықсудыңm2 массасы менt12температурасынөлшейміз.
	Суық суды ыстықсуға калориметр ішіндеараластырып, қоспаныңсоңғытұрақталғанtтемпературасынөлшейміз.
	Формула бойыншаыстықсудыңбергенжылуынжәнесуықсудыңалғанжылуын есептейміз.
	Салыстырмалықателіктіесептейміз: .
	Қорытынды:Ыстықсудыңбергенжәнесуықсудыңалғанжылумөлшерлеріөзаратеңболады, бұлтұйықжүйедегіэнергияныңсақталужәнежылулық баланс заңынтолықрастайды.
4	9. Оқушыларжиішатастыратынұғымдар
TABLE	Шатастырылатынұғымдар || Қатетүсінік || Ғылымиақиқаттүсініктемесі /// Температура жәнеЖылу || Бұлекеуібірнәрсе, температура көпболса, жылу да көпболады. || Температура — бөлшектердіңретсізқозғалысыныңкинетикалықэнергиясыныңөлшеміСнемесе К). Жылу (жылумөлшері) — жылуалмасукезіндеберілетінішкі энергия өзгерісі (Джоуль). /// БуланужәнеҚайнау || Сұйықтық тек қайнағанкездеғанабуғаайналады. || Буланукезкелгентемпературада тек сұйықтықбетіндеөтеді. Қайнау тек белгіліқайнаунүктесіндесұйықтықтыңбүкілішкікөлеміндекөпіршіктеніпжүреді. /// Суықтыңфизикалықтабиғаты || Суық — бұлдербесфизикалық энергия түрі, олбөлмегеесіктененеді. || Физикададербес "суық" деген энергия жоқ. Салқындау (суыну) — бұлдененіңөзіндегіішкіжылуэнергиясынсыртқа беру үдерісі.
4	10. Тақырыпбойыншаестесақтауғатиіс 10 маңызды факт
	Температура — заттыңжылулықкүйінсипаттайтынфизикалықшама.
	Молекулаларнеғұрлымжылдамқозғалса, дененіңтемпературасысоғұрлымжоғарыболады.
	Жылуөздігіненәрқашаныстықденеденсалқынденегеауысады.
	Жылуберілудіңүштүрі бар: жылуөткізгіштік, конвекция жәнесәулешығару.
	Абсолют температуралықшкаланы Лорд Кельвин енгізді.
	Кельвин және Цельсий шкалаларыныңбайланысы: .
	Роберт Румфордзеңбірекұңғысынбұрғылауарқылымеханикалықжұмыстыңжылуғаайналатынынашты.
	Қазақстандағыеңжоғарыауатемпературасы (Қызылорда), еңтөменгісі (ШҚО) тіркелген.
	Қазақстандағыэлектрэнергиясының 70%-ы көміржағуарқылыөндіріледі.
	"Бурное Солар-1" күнэлектрстанциясы Жамбыл облысындаорналасқанжәнеқуаты 50 МВт құрайды.
4	11. Тереңдетілген деңгей: НИШ/РФМШ Challenge
	Жылулыққұбылыстардыңқайтымсыздығы (Термодинамиканыңекіншізаңы):Жылуэнергиясыөздігіненешқашансалқынденеденыстықденегекерібағыттаауысаалмайды. Табиғаттағыбарлықтабиғижылуүдерістеріқайтымсызболыптабылады.
	Абсолют нөлдіңфизикалықмағынасы:Бұлтемпературада идеал газ бөлшектерініңретсізжылулыққозғалысытолығыментоқтайдыжәне газ қысымынөлгетеңболады. Цельсий шкаласыбойыншабұлкөрсеткіш тең.
	Парниктікэффектініңтермодинамикалықмеханизмі:Атмосферадағыпарниктікгаздар (СО2, метан, су булары) Күнненкелетінқысқатолқындысәулелердіөткізеді де, Жерденшағылысқанұзынтолқындыжылу (инфрақызыл) сәулелерінжұтып, атмосфераныңтөменгіқабатынқаттыжылытады.
	Жылулықұлғаюдыңмикроскопиялықмеханизмі:Заттықыздырғандабөлшектердіңкинетикалықэнергиясыартып, олардыңтеңселуамплитудасыұлғаяды. Молекулаларарасындағыорташақашықтықөсіп, дененіңжалпысызықтықөлшемдері мен көлеміартады.
	Термодинамикалықжұмыс пен ішкі энергия байланысы:Тұйықжүйедегісыртқыкүштердіңатқарғанжұмысыдененіңішкіэнергиясыныңөзгеруіне (артуына) теңболады. Керісінше, денеөздігіненжұмысатқарса, оныңішкіэнергиясыазайып, салқындайды.
