TITLE	АГРЕГАТТЫҚ КҮЙЛЕР ЖӘНЕ ЗАТТАРДЫҢ ҚАСИЕТТЕРІ
4	1. Тақырыптыңмәні мен негізгіғылымиұғымдары
a3	Айналамыздағыматериалдықәлемалуантүрліфизикалықденелердентұрады. Кез келгендененақтыбірзаттанқұралады. Заттарөзкезегіндеөзарабайланысқанөтеұсақбөлшектерден (молекулалар мен атомдардан) тұрады.
a3	Заттардыңфизикалыққасиеттері мен агрегаттықкүйлері осы бөлшектердіңөзараорналасутәртібіне, қозғалысынажәнетартылыскүштерінетікелейбайланысты.
a3	Негізгіұғымдар:
	Агрегаттықкүй — заттыңмолекулаларыныңорналасуқашықтығы мен қозғалыссипатынақарайанықталатынфизикалықжағдайы. Затқатты, сұйықжәне газ күйлерінде бола алады.
	Балқу — заттыңжылуқабылдауарқылықаттыкүйденсұйықкүйгеауысуүдерісі.
	Қайнау — сұйықтың тек бетіндеғанаемес, оныңбүкілішкікөлемінде де букөпіршіктерітүріндежүзегеасатынқарқындыбутүзілуүдерісі.
	Булану — сұйықтыңбетіненмолекулалардыңбөлініп, газ тәріздесжағдайғаайналуы.
	Тығыздық — заттыңкөлембірлігіндегімассасынсипаттайтыннегізгіфизикалықшама.
4	2. Заттардыңагрегаттықкүйлері: Бөлшектертеориясытұрғысынансалыстыру
a3	Заттардыңбіркүйденекіншікүйгеауысуымолекулалардыңөзараәрекеттесусипатыныңөзгеруіментүсіндіріледі.
TABLE	Көрсеткіш || Қаттыкүй || Сұйықкүй || Газ күйі /// Бөлшектердіңорналасуы || Өтетығыз, реттелген кристалл тор құрайды. || Жақынорналасқан, біраққатаңреттіліксақталмайды. || Бөлшектерарасыөтеалшақ, бос кеңістікүлкен. /// Әрекеттесу (тартылыс) күші || Өтежоғары, бөлшектерөзорнынтастап кете алмайды. || Күшті, бірақбөлшектердіңорынауыстыруынажеткілікті. || Өтеәлсіз, молекулалареркінқозғалады. /// Қозғалыссипаты || Нақтынүктетөңірегіндетербелісжасайды. || Бірорыннанекіншіорынғаығысақозғалады. || Ретсізхаостықжылулыққозғалыстаболады. /// Пішіні мен көлемі || Тұрақтыпішіні мен көлемінсақтайды. || Көлемінсақтайды, біраққұйылғаныдыстыңпішініналады. || Пішінін де, көлемін де сақтамайды, берілгенкеңістіктітолыққамтиды.
4	3. Құбылыстар мен үдерістердіңжүрумеханизміжәнекезеңдері
5	А) Балқужәнеқатаю (кристалдану) механизмі:
a3	Қаттыдененіқыздырғанкездеоныңмолекулаларынаберілгенжылуолардыңтербелісжылдамдығынүдетеді. Температура белгілібірбалқунүктесінежеткенде, молекулалардыңтербелісісондайқуаттыболады, оларөздерінің кристалл тордағыбастапқытұрақтыкүйінеқайтыпкелеалмайды. Осы сәттезатбалқибастайды.
a3	Керіүдеріс:Затсуығандамолекулалардыңкинетикалықэнергиясыазайып, тартылыскүштерініңәсеріненоларқайтаданреттелгенқұрылымға (кристалл торға) иеболады — бұлқатаю (кристалдану)үдерісі.
5	Ә) Қайнаужәнебукөпіршіктерініңпайда болу механизмі:
a3	Ыдыстағысұйықтықыздырғанда, оныңішкіэнергиясы мен молекулаларыныңқозғалысжылдамдығыартады. Қайнау тек сұйықтыңбетіндеғанаемес, оныңішіндегімикрокөпіршіктердежүреді.
	Сұйықтыңішіндеәрқашанерігенауамолекулалары мен көрінбейтінмикрокөпіршіктерболады.
	Температура көтерілгенде, осы микрокөпіршіктердіңішіндегіауа мен су буыұлғаябастайды.
	Газ бен будыңтығыздығысудананағұрлым аз болғандықтан, Архимед заңынасәйкесбұлкөпіршіктержоғарыкөтеріледі.
	Көпіршіктерсұйықтыңбетінешыққандажарылады, өйткеніолардыңішіндегібуқысымысыртқыатмосфералыққысымнанасыптүседі.
4	4. НегізгіСебеп Салдар байланыстары
a3	Ғылымиойлаужүйесіқұбылыстардысебеп-салдарзаңдылықтарыарқылытүсіндіреді:
	1-байланыс:
	Себеп:Затқасырттанжылумөлшерін беру (температураныңкөтерілуі).
